#ARTIST:Aimer
#TITLE:Zankyou Sanka
#CREATOR:DeinAlptraum
#BPM:342,2
#YEAR:2021
#PREVIEWSTART:47
#VIDEO:v=tLQLa6lM3Us
#LANGUAGE:Japanese
#GAP:8721,817650496785
#ALLKARAOKE_ID:aimer-zankyou-sanka
#ALLKARAOKE_SID:5910
#ALLKARAOKE_LASTUPDATE:2026-06-24T04:49:48.319Z
#ALLKARAOKE_ARTISTORIGIN:JP
#ALLKARAOKE_REALBPM:171
#ALLKARAOKE_PREVIEWEND:74
#ALLKARAOKE_VOLUME:1
#ALLKARAOKE_DURATION:182
#MP3:Aimer - Zankyou Sanka.mp3
#COVER:Aimer - Zankyou Sanka [CO].jpg
#BACKGROUND:Aimer - Zankyou Sanka [BG].jpg
F 23 11 3 Da 
F 35 7 1 da
F 43 7 6 ra 
F 51 7 4 da
F 59 7 3 ra 
F 67 7 1 da 
F 75 8 -1 da
- 83
F 87 3 3 Da
F 91 7 -1 ra 
F 99 7 1 da 
F 107 8 -4 da, 
F 119 3 3 da
F 123 7 -1 ra 
F 131 7 1 da 
F 139 8 -4 da
- 147
F 151 11 3 Da 
F 163 7 1 da
F 171 7 6 ra 
F 179 7 4 da
F 187 7 3 ra 
F 195 7 1 da 
F 203 8 -1 da
- 211
F 215 3 3 Da
F 219 7 -1 ra 
F 227 7 1 da 
F 235 7 -4 da, 
F 243 7 -6 da
F 251 7 -4 ra 
F 259 7 -1 da 
F 267 11 -2 da 
F 279 4 -4 ra
- 283
: 287 7 8 Ta 
: 295 3 3 ga 
: 299 3 1 so
: 303 3 1 de 
: 307 3 -1 ni 
: 311 7 -1 saku 
* 319 7 1 gen
* 327 16 -4 ka
- 343
: 351 7 8 Ta
: 359 3 3 da 
: 363 3 1 so
: 367 3 1 ko 
: 371 3 -1 ni 
: 375 7 -1 ai 
: 383 3 3 wo 
: 387 3 3 o
: 391 7 -2 to
: 399 8 3 shita
- 407
: 411 3 8 Ha
: 415 3 10 de 
: 419 3 8 ni 
: 423 3 10 i
: 427 3 10 ro 
: 431 3 10 wo 
: 435 3 8 to
: 439 7 10 kasu 
: 447 7 11 yo 
: 455 7 8 ni 
: 463 7 15 gi
: 471 7 13 n
: 479 7 15 shu 
: 487 7 13 no 
: 495 3 8 tsu
: 499 3 8 ki 
: 503 7 11 wo 
: 511 3 10 so
: 515 3 8 e
: 519 12 7 te
- 531
: 535 3 -1 Ko
: 539 3 1 ro
: 543 3 3 ga
: 547 3 3 ru 
: 551 7 6 you 
: 559 3 3 ni 
: 563 3 1 ka
: 567 3 1 ze 
: 571 3 1 wo 
: 575 7 3 ki
: 583 8 -1 tte
- 591
: 599 3 -1 Tsu
: 603 3 1 ma
: 607 3 3 zu
: 611 3 3 ku 
: 615 3 6 go
: 619 3 6 to 
: 623 3 3 ni 
: 627 3 1 tsu
: 631 7 1 yoku 
: 639 7 6 na
: 647 8 3 tta
- 655
: 659 3 -1 Hi
: 663 7 8 ka
: 671 3 6 ri 
: 675 3 3 mo 
: 679 3 3 i
: 683 3 8 ta
: 687 3 6 mi 
: 691 3 3 mo 
: 695 3 3 i
: 699 3 8 ka
: 703 3 6 ri 
: 707 3 3 mo 
: 711 7 1 zen
: 719 7 -1 bu 
: 727 8 3 da
: 739 3 4 ki
: 743 8 3 shi
: 755 3 4 me
: 759 8 3 te
- 767
: 771 3 -4 E
: 775 7 -4 ra
: 783 7 -2 ba
: 791 7 -1 re
: 799 7 1 na
: 807 7 3 ke
: 815 7 4 re
: 823 7 6 ba 
: 831 7 -1 e
: 839 7 -1 ra
: 847 7 1 be
: 855 16 1 ba 
* 879 3 4 i
* 883 12 3 i
- 895
: 903 3 11 Ko
: 907 3 10 e 
: 911 3 8 yo 
: 915 3 6 to
: 919 3 8 do
: 923 3 8 ro
: 927 7 15 ke 
: 935 3 11 yo
: 939 3 10 ru 
: 943 3 8 no 
: 947 3 6 so
: 951 3 8 no 
: 955 3 8 mu
: 959 7 15 kou 
: 967 8 8 e
- 975
: 979 3 6 Na
: 983 11 6 mi
: 995 3 1 da 
: 999 7 1 de 
: 1007 7 6 ni
: 1015 11 4 jin
