#ARTIST:Conan Gray
#TITLE:Yours
#CREATOR:Fenyesyes
#BPM:259
#YEAR:2022
#VIDEO:v=74NhLkjIeMs
#LANGUAGE:English
#GAP:13845,444015444016
#ALLKARAOKE_ID:conan-gray-yours
#ALLKARAOKE_SID:6361
#ALLKARAOKE_LASTUPDATE:2026-09-17T02:44:50.771Z
#ALLKARAOKE_ARTISTORIGIN:US
#ALLKARAOKE_REALBPM:130
#ALLKARAOKE_VOLUME:1
#ALLKARAOKE_DURATION:201
#MP3:Conan Gray - Yours.mp3
#COVER:Conan Gray - Yours [CO].jpg
#BACKGROUND:Conan Gray - Yours [BG].jpg
: 17 3 9 I’m 
: 21 3 14 some
: 25 3 16 bo
: 29 3 14 dy 
: 33 3 13 you 
: 37 11 14 call 
: 49 3 11 when 
: 53 3 14 you’re 
: 57 3 11 a
: 61 7 14 lone
- 68
: 81 3 9 I’m 
: 85 3 14 some
: 89 3 16 bo
: 93 3 14 dy 
: 97 3 13 you 
: 101 11 14 use, 
: 113 3 11 but 
: 117 3 14 ne
: 121 3 11 ver 
: 125 7 14 own
- 132
: 145 3 9 I’m 
: 149 3 14 some
: 153 3 16 bo
: 157 3 14 dy 
: 161 3 16 you 
: 165 11 18 touch, 
: 177 3 18 but 
: 181 3 18 ne
: 185 3 16 ver 
: 189 8 18 hold
- 197
: 205 3 9 And 
: 209 3 9 you’re 
: 213 3 16 some
: 217 3 18 bo
: 221 3 18 dy 
: 225 3 18 I’ll 
: 229 11 16 ne
: 241 3 14 ver 
: 245 3 16 real
: 249 3 14 ly 
: 253 7 16 know
- 260
: 273 3 9 I 
: 277 3 14 know 
: 281 3 16 I’m 
: 285 3 14 not 
: 289 3 13 the 
: 293 11 14 one 
: 305 3 11 you 
: 309 3 14 real
: 313 3 11 ly 
: 317 7 14 love
- 324
: 337 3 9 I 
: 341 3 14 guess 
: 345 3 16 that’s 
: 349 3 14 why 
: 353 3 13 I’ve 
: 357 11 14 ne
: 369 3 11 ver 
: 373 3 14 gi
: 377 3 11 ven 
: 381 7 14 up
- 388
: 401 3 9 ’Cause 
: 405 3 9 I 
: 409 3 9 could 
: 413 3 9 give 
: 417 3 18 you 
: 421 7 18 all 
: 429 7 18 you 
: 437 7 18 want
- 444
: 449 3 14 The 
: 453 5 18 stars 
: 459 1 19 and 
: 461 3 18 the 
: 465 3 16 su
: 469 3 14 ~n, 
: 477 7 14 but 
: 485 3 18 still, 
: 489 11 16 I’m 
: 501 7 16 not 
: 509 3 14 e
: 513 3 16 nou
: 517 7 16 ~gh
- 524
: 529 3 18 Oh
: 533 3 16 ~
: 537 3 14 ~
: 541 3 13 ~, 
: 545 3 11 all 
: 549 3 11 I 
: 553 3 11 real
: 557 3 11 ly 
: 561 3 13 wan
: 565 3 13 ted 
