#ARTIST:Alligatoah
#TITLE:Trauerfeier Lied
#CREATOR:Webi
#BPM:326,95
#YEAR:2013
#PREVIEWSTART:75
#VIDEO:v=Hpqu36djb3k
#GENRE:Rap
#LANGUAGE:German
#GAP:11174,671356476525
#ALLKARAOKE_ID:alligatoah-trauerfeier-lied
#ALLKARAOKE_LASTUPDATE:2024-06-19T00:10:35.291Z
#ALLKARAOKE_ARTISTORIGIN:DE
#ALLKARAOKE_REALBPM:79
#ALLKARAOKE_PREVIEWEND:120
#ALLKARAOKE_VOLUME:0,8
#MP3:Alligatoah - Trauerfeier Lied.mp3
#COVER:Alligatoah - Trauerfeier Lied [CO].jpg
#BACKGROUND:Alligatoah - Trauerfeier Lied [BG].jpg
: 22 4 1 Me
: 26 4 1 lo
: 30 6 1 die
- 36 216
- 216
: 238 5 9 Und 
: 243 4 8 Ru
: 247 4 8 he
- 251 269
- 269
: 291 4 6 Und 
: 295 2 3 ich 
: 299 6 1 gab 
: 306 2 1 je
: 308 2 1 dem 
: 310 6 3 Trau
: 316 2 3 er
: 318 5 3 fei
: 323 3 3 er
: 326 7 4 lied 
: 333 3 4 die
: 336 4 4 sel
: 340 2 4 be 
: 343 8 4 Chan
: 351 3 4 ce
- 354
: 364 7 4 Keins 
: 371 4 4 war 
: 375 3 4 ge
: 378 4 4 nug 
: 382 3 4 mo
: 385 3 4 nu
: 388 4 4 men
: 392 5 4 tal 
: 397 3 4 und 
: 401 6 3 herz
: 407 4 3 zer
: 411 4 3 rei
: 415 5 3 ßend, 
: 420 4 1 von 
: 424 6 3 Queen 
: 430 3 3 bis 
: 433 4 3 El
: 437 4 3 ton 
: 442 7 3 John
- 449
: 450 3 4 Die
: 453 3 4 sen 
: 459 3 4 Ha
: 462 4 4 fen
: 466 4 4 sän
: 470 4 4 gern 
: 475 7 4 über
: 482 5 4 las
: 487 2 4 se 
: 490 4 8 ich 
: 495 4 1 doch 
: 499 3 4 nicht 
: 502 3 4 die 
: 505 6 4 Show 
: 511 4 4 auf 
: 515 4 11 mei
: 519 3 11 ner 
: 522 5 4 gro
: 527 4 4 ßen 
: 531 5 4 To
: 536 3 4 des
: 539 5 4 fei
: 544 2 4 er
- 546
: 548 3 3 Hier 
: 552 2 11 der 
: 555 5 6 Song 
: 561 3 11 vom 
: 565 5 11 Ze
: 570 3 11 re
: 573 4 11 mo
: 577 4 11 nien
: 581 5 11 meis
: 586 4 11 ter
- 590
: 593 2 4 Das 
: 596 5 4 Fest 
: 602 4 4 be
: 606 7 4 ginnt, 
: 618 4 11 ich 
: 622 5 1 stell' 
: 627 3 1 es 
: 631 4 3 mir 
: 635 3 1 gi
: 638 5 1 gan
: 643 5 1 tisch 
: 650 6 11 vor
- 656
: 661 4 1 Ich 
: 666 3 4 hof
: 669 2 4 fe 
: 672 4 4 doch, 
: 677 2 9 ihr 
: 680 3 9 habt 
: 684 3 11 mir 
: 688 6 1 ein'n 
: 695 7 1 Ele
: 702 7 1 fant 
: 710 2 1 be
: 712 6 1 sorgt
- 718
: 719 2 1 Ich 
: 721 4 4 seh' 
: 726 7 4 pras
: 733 3 4 seln
: 736 2 4 den 
: 738 5 4 Re
: 743 2 4 gen, 
: 746 3 1 in 
: 750 3 11 der 
: 754 5 1 Mas
: 759 2 1 se 
: 762 5 3 flie
: 767 3 3 ßen 
: 771 5 3 Trä
: 776 4 3 nen
- 780
: 786 6 1 Kin
: 792 2 1 der
: 794 5 1 au
: 799 2 1 gen 
: 802 6 1 fra
: 808 2 1 gen, 
: 811 4 1 wann 
: 816 2 1 sie 
: 819 4 3 Pa
: 823 3 3 pa 
: 827 4 3 wie
: 831 3 3 der 
: 835 5 3 seh'n
- 840
: 840 3 3 Es 
: 844 3 3 gibt 
: 847 4 3 noch 
: 851 7 8 Fo
: 858 6 8 tos, 
: 865 2 8 da 
: 867 6 3 kann 
: 873 2 4 man 
: 875 5 4 mich 
