#ARTIST:ATARASHII GAKKO!
#TITLE:OTONABLUE
#CREATOR:DeinAlptraum, HansiMcKlaus
#BPM:260
#YEAR:2020
#VIDEO:v=l446hUqQ7GY
#LANGUAGE:Japanese
#GAP:15269,23076923077
#ALLKARAOKE_ID:atarashii-gakko-otonablue
#ALLKARAOKE_LASTUPDATE:2025-03-07T00:12:01.544Z
#ALLKARAOKE_ARTISTORIGIN:JP
#ALLKARAOKE_REALBPM:130
#ALLKARAOKE_VOLUME:0,75
#MP3:ATARASHII GAKKO! - OTONABLUE.mp3
#COVER:ATARASHII GAKKO! - OTONABLUE [CO].jpg
#BACKGROUND:ATARASHII GAKKO! - OTONABLUE [BG].jpg
: 17 3 9 Wa
: 21 3 9 ka
: 25 1 7 ~
: 27 3 6 tte
: 31 4 4 ru 
: 49 3 2 ho
: 53 3 2 shi
: 57 1 2 in 
: 59 5 6 de
: 65 4 4 shou?
- 69
: 81 3 9 Tsu
: 85 3 9 ya
: 89 1 7 ya
: 91 3 6 ka
: 95 4 4 na 
: 109 3 2 ko
: 113 3 2 no 
: 117 3 2 ku
: 121 1 2 chi
: 123 5 6 bi
: 129 1 4 ru
- 130
: 133 3 10 Ya
: 137 3 9 wa
: 141 3 7 na 
: 145 4 9 o
: 157 3 7 to
: 161 4 9 ko 
: 169 3 9 ta
: 173 3 11 chi 
: 177 3 4 hi
: 181 3 4 ki
: 185 1 4 yo
: 187 3 2 se
: 191 2 4 ru
- 193
: 197 3 10 I
: 201 3 9 ki 
: 205 3 7 wo 
: 209 4 9 no
: 221 3 7 mu 
: 225 4 9 ho
: 233 3 9 do 
: 237 3 11 ni 
: 241 3 2 a
: 245 3 4 ma
: 249 1 4 i 
: 251 5 2 mi
: 257 4 4 tsu
- 261 320
- 320
: 337 3 9 Wa
: 341 3 9 ka
: 345 1 7 ~
: 347 3 6 tte
: 351 4 4 ru 
: 369 3 2 ho
: 373 3 2 shi
: 377 1 2 in 
: 379 5 6 de
: 385 4 4 shou?
- 389
: 401 3 9 Ni
: 405 3 9 do
: 409 1 7 me 
: 411 3 6 su
: 415 4 4 ru 
: 433 3 2 ko
: 437 3 2 no 
: 441 1 2 ka
: 443 5 6 ra
: 449 1 4 da
- 450
: 453 3 10 A
: 457 3 9 se
: 461 3 7 ba
: 465 4 9 mu 
: 477 3 7 ma
: 481 4 9 chi 
: 489 3 9 hi
: 493 3 11 to
: 497 3 4 ri 
: 501 3 4 a
: 505 1 4 ru
: 507 3 2 ke
: 511 2 4 ba
- 513
: 517 3 10 Mi
: 521 3 9 da
: 525 3 7 ra
: 529 4 9 na 
: 541 3 7 shi
: 545 6 9 se
: 553 3 9 n 
: 557 2 11 ga 
: 561 3 4 ka
: 565 3 4 ra
: 569 1 4 mi
: 571 5 2 tsu
: 577 4 4 ku
- 581
: 585 7 7 Ne
: 593 12 6 e 
: 609 12 4 na
: 625 3 3 ni 
