#ARTIST:Beyoncé
#TITLE:Texas Hold 'Em
#BPM:110
#YEAR:2024
#PREVIEWSTART:163
#VIDEO:v=jCOX8dT9q8M
#GENRE:Country-pop
#LANGUAGE:English
#GAP:11305,454545454546
#ALLKARAOKE_ID:beyonce-texas-hold-em
#ALLKARAOKE_LASTUPDATE:2024-03-23T18:31:20.777Z
#ALLKARAOKE_ARTISTORIGIN:US
#ALLKARAOKE_REALBPM:110
#ALLKARAOKE_PREVIEWEND:206
#ALLKARAOKE_VOLUME:0,83
#MP3:Beyoncé - Texas Hold 'Em.mp3
#COVER:Beyoncé - Texas Hold 'Em [CO].jpg
#BACKGROUND:Beyoncé - Texas Hold 'Em [BG].jpg
: 7 1 -3 This 
: 8 2 2 ain't 
: 10 3 2 Tex
: 13 2 -1 as
- 15 16
- 16
: 23 1 -1 ain't 
: 24 2 2 no 
: 26 3 2 hold
: 29 1 -1 ~ 
: 30 2 -3 em'
- 32
: 37 2 -10 so 
: 39 1 -3 lay 
: 40 3 2 your 
: 43 4 2 cards
- 47
: 47 1 -3 do
: 48 1 -1 w
: 49 2 -3 n 
: 51 1 -8 d
: 52 3 -6 own 
: 55 3 -8 down 
: 58 8 -10 down
- 66
: 70 1 -6 So 
: 71 1 -1 park 
: 72 2 2 your 
: 74 3 2 lex
: 77 2 -1 us, 
: 86 1 -5 and 
: 87 1 -1 throw 
: 88 2 2 your 
: 90 3 2 keys 
: 93 1 -1 u
: 94 5 -3 p
- 99
: 103 1 -3 Stick 
: 104 3 2 a
: 107 4 2 round, 
: 111 1 -3 'ro
: 112 1 -1 u
: 113 2 -3 nd, 
: 115 1 -8 'ro
: 116 3 -6 und, 
: 119 1 -8 'ro
: 120 1 -6 u
: 121 1 -8 nd, 
: 122 8 -10 'round
- 130
: 134 1 2 And 
: 135 1 2 I'll 
: 136 2 2 be 
: 138 1 2 da
: 139 1 4 mned 
: 140 1 4 if 
: 141 2 4 I 
: 143 2 4 can't 
: 145 1 4 sl
: 146 1 6 ow 
: 147 2 -1 dance 
: 149 2 -1 with 
: 151 2 14 you
- 153
: 153 2 4 Come 
: 155 2 2 pour 
: 157 2 2 some 
: 159 1 2 su
: 160 1 2 gar 
: 161 1 2 on 
: 162 1 2 me, 
: 163 3 2 honey 
: 166 3 14 too
- 169
: 169 1 2 It's 
: 170 1 2 a 
: 171 2 2 real 
: 173 2 2 life 
: 175 1 -1 boo
: 176 1 -3 gie 
: 177 1 -3 and 
: 178 1 -3 a 
: 179 2 2 real 
: 181 2 2 life 
: 183 1 2 ho
: 184 1 -1 e
: 185 1 -1 do
: 186 1 -3 wn
- 187
: 187 2 -1 Don't 
: 189 1 -3 be 
: 190 1 -6 a 
: 191 1 -3 bit
: 192 1 -3 ch, 
: 193 2 -3 come 
: 195 1 -3 take 
: 196 1 -6 it 
: 197 1 -6 to 
: 198 1 -6 the 
: 199 1 -8 flo
: 200 1 -6 or 
: 201 2 -6 now, 
: 203 3 2 woo, 
: 209 2 -1 huh
- 211
: 212 3 2 There's 
: 215 1 2 a 
: 217 1 2 tor
: 218 3 2 na
: 221 1 -1 d
: 222 3 -3 o 
: 230 1 -3 i
: 231 1 2 n 
: 232 2 2 my 
: 234 1 2 c
: 235 2 4 i
: 237 2 6 ty
- 239
: 246 1 -3 h
: 247 1 4 it 
: 249 1 2 the 
: 250 3 2 base
: 253 1 -1 me
: 254 2 -3 nt, 
: 261 2 2 that 
: 263 1 2 shit 
: 264 2 2 ain't 
: 266 1 2 pr
: 267 2 4 e
: 269 2 6 tty
- 271
: 278 1 2 R
: 279 1 2 u
: 280 1 -1 gg
: 281 1 -1 ed 
: 282 3 -1 whi
: 285 1 -3 s
: 286 2 -5 key 
: 293 2 -3 'cause 
