#ARTIST:Creepy Nuts
#TITLE:Otonoke
#CREATOR:wolf359
#BPM:340
#YEAR:2024
#VIDEO:v=a4na2opArGY
#GENRE:Rap
#LANGUAGE:Japanese
#GAP:-9,529411764705856
#ALLKARAOKE_ID:creepy-nuts-otonoke
#ALLKARAOKE_LASTUPDATE:2024-12-29T00:12:41.123Z
#ALLKARAOKE_ARTISTORIGIN:JP
#ALLKARAOKE_CREATORURL:https://ultrastar-es.org/en/canciones?creador=wolf359
#ALLKARAOKE_REALBPM:340
#ALLKARAOKE_VOLUME:1
#MP3:Creepy Nuts - Otonoke (TV).mp3
#COVER:Creepy Nuts - Otonoke (TV).jpg
#MEDLEYSTARTBEAT:1504
#MEDLEYENDBEAT:2016
R 13 4 0 Dan
R 19 1 0 da
R 21 2 0 dan, 
R 25 4 0 dan
R 31 1 0 da
R 33 2 0 dan, 
R 36 4 0 dan
R 42 1 0 da
R 44 2 0 dan, 
R 48 4 0 dan
R 54 1 0 da
R 56 2 0 dan, 
R 60 4 0 dan
R 66 1 0 da
R 68 3 0 dan
- 71
R 76 4 0 dan
R 81 2 0 da
R 84 1 0 dan, 
R 88 3 0 dan
R 94 1 0 da
R 96 2 0 dan, 
R 100 3 0 dan
R 105 1 0 da
R 107 2 0 dan, 
R 111 4 0 dan
R 117 1 0 da
R 119 2 0 dan, 
R 124 2 0 dan
R 129 1 0 da
R 131 2 0 dan
- 133
R 139 4 0 dan
R 145 1 0 da
R 147 1 0 dan, 
R 151 3 0 dan
R 157 1 0 da
R 159 1 0 dan, 
R 163 3 0 dan
R 168 1 0 da
R 170 2 0 dan, 
R 174 4 0 dan
R 180 1 0 da
R 182 2 0 dan, 
R 186 4 0 dan
R 191 1 0 da
R 193 3 0 dan
- 196
R 202 4 0 dan
R 207 1 0 da
R 209 2 0 dan, 
R 214 3 0 dan
R 219 1 0 da
R 221 2 0 dan, 
R 225 4 0 dan
R 231 1 0 da
R 233 3 0 dan
- 236
R 245 1 0 A
R 248 1 0 ki
R 250 2 0 ra
R 253 1 0 me 
R 255 1 0 no 
R 257 4 0 wa
R 262 2 0 rui 
R 266 3 0 ya
R 271 1 0 ka
R 273 1 0 ra
- 274
R 278 3 0 an
R 283 1 0 ta
R 285 1 0 ra 
R 289 3 0 nan
R 295 1 0 ka 
R 297 1 0 ja 
R 301 1 0 ta
R 303 1 0 ba 
R 305 1 0 na
R 308 1 0 tte 
R 310 1 0 mo 
R 313 1 0 ka
R 315 2 0 ~
R 318 1 0 na
R 321 1 0 wan
- 322
R 330 3 0 kuwa
R 334 1 0 ba
R 336 1 0 ra, 
R 341 1 0 ku
R 343 2 0 wa
R 346 1 0 ba
R 348 1 0 ra, 
R 353 1 0 ku
R 355 2 0 wa
R 358 1 0 ba
R 360 1 0 ra
- 361
R 363 1 0 me 
R 365 1 0 ni 
R 367 1 0 mo 
R 369 1 0 to
R 371 1 0 ma
R 373 2 0 ran 
R 378 2 0 ha
R 381 1 0 ya
R 385 1 0 sa, 
R 389 1 0 hey
- 390
R 398 2 0 kuta
R 402 1 0 ba
R 404 2 0 ran 
R 410 3 0 da
R 414 1 0 ma
R 416 1 0 ran
- 417
R 420 2 0 sa
R 423 1 0 ga
R 425 1 0 ran 
R 428 2 0 oshi
R 433 2 0 too
R 437 1 0 su 
R 439 1 0 wa
R 441 4 0 ga
R 446 1 0 ma
R 448 1 0 ma, 
R 453 1 0 hey
- 454
R 461 1 0 so
R 463 1 0 ko 
R 465 1 0 do
R 467 1 0 ki 
R 469 1 0 na 
R 473 4 0 ja
R 478 1 0 ma 
R 480 1 0 da 
R 485 1 0 o
R 487 1 0 re 
R 489 1 0 wa 
R 493 1 0 mou 
R 495 1 0 hi
R 497 1 0 to
R 499 1 0 ri 
R 501 1 0 no 
R 505 4 0 a
R 510 1 0 na
R 513 1 0 ta
- 514
R 521 4 0 sa
R 526 1 0 da
R 529 2 0 chan, 
R 533 4 0 Ka
R 538 1 0 ya
R 541 1 0 Chan
- 542
R 546 2 0 wan
R 550 1 0 sa
R 553 1 0 ka 
R 556 2 0 yo
R 559 1 0 mi 
R 561 1 0 no 
R 563 1 0 ku
R 565 1 0 ni 
R 569 4 0 won
R 574 1 0 der
R 576 2 0 land, 
R 581 1 0 hey
- 582
R 588 1 0 go
R 590 1 0 ki
R 592 3 0 tou
R 596 1 0 chuu 
R 598 1 0 ni 
R 601 3 0 nan
R 606 1 0 da 
R 608 1 0 ga
- 609
R 613 1 0 yon
R 615 1 0 ji, 
R 617 1 0 yon
R 621 1 0 juu, 
R 624 1 0 yon
R 629 1 0 pun 
R 633 1 0 ma
R 635 1 0 wa
R 639 1 0 tta
R 641 1 0 ra, 
R 645 1 0 yo
R 649 1 0 ssha
- 650
R 656 3 0 yon
R 661 2 0 suu 
R 665 1 0 yon
R 669 1 0 pun 
R 674 3 0 sa
R 678 1 0 ma 
R 680 1 0 ga
- 681
R 685 1 0 ka
R 687 1 0 mi
R 689 1 0 na
R 693 1 0 ccha 
R 697 1 0 bang
R 699 2 0 ~ 
R 702 1 0 a
R 704 1 0 round, 
R 709 1 0 hey
- 710
R 717 1 0 yo
R 719 1 0 bu 
R 721 1 0 ko
R 723 1 0 e 
R 725 1 0 ga 
R 729 2 0 shita
R 732 1 0 n 
R 735 1 0 na
R 737 1 0 ra
- 738
R 741 1 0 moji 
R 745 1 0 doo
R 747 1 0 ri 
R 753 1 0 otsu
R 757 1 0 ka
R 759 1 0 re 
R 761 5 0 sa
R 767 1 0 ma 
R 769 2 0 yan
- 771
: 777 3 -7 Ha
: 781 1 -4 i
: 783 1 -4 re
: 785 1 -4 ta, 
: 790 3 -5 ha
: 794 1 -4 i
: 796 1 -4 re
: 798 1 -4 ta, 
: 803 3 -5 hai
: 807 1 -4 re
: 810 1 -4 ta, 
: 815 2 -2 ha
: 818 1 0 i
: 820 1 0 re
: 822 1 0 ta, 
: 827 2 -2 ha
: 830 1 -4 i
: 832 1 -4 re
: 834 2 -4 ta
- 836
: 846 4 -7 hisshi 
: 854 1 -4 de 
: 858 2 -7 ha
: 861 1 -4 i
: 863 1 -4 de
: 865 1 -4 ta 
: 870 1 -7 sa
: 872 2 -4 ~
: 875 1 -4 ki 
: 877 1 -4 de 
: 882 1 0 ki
: 884 1 0 ri 
: 886 1 0 wa 
* 891 4 -2 ha
* 896 1 -4 re
* 898 4 -4 ta
- 902
: 912 1 0 de
: 914 1 0 ko 
: 916 1 0 to 
: 921 3 -2 bo
: 926 1 -4 ko 
: 929 2 -4 ga 
: 936 2 -4 u
: 939 1 0 ma
: 941 1 0 ku 
: 945 3 0 ka
: 950 1 0 mi
: 954 3 -2 a
: 960 1 -4 tta
: 962 2 -4 ra
- 964
: 969 1 -2 i
: 971 1 0 ta
: 973 1 0 mi 
: 977 3 -2 ga 
: 981 1 0 ka
: 984 1 0 sa
: 986 2 -2 na
: 992 1 -4 tta
: 994 4 -4 ra
- 998
: 1014 1 3 Ko
: 1016 1 3 ko
: 1018 2 3 ro 
* 1022 2 1 ka
* 1026 2 0 ra
* 1029 2 -2 da 
: 1033 4 -2 a
: 1039 1 0 ta
: 1041 1 -4 ma
- 1042
: 1045 1 3 mi
: 1047 1 3 na
: 1049 2 3 gi
: 1053 3 1 tte 
: 1057 1 0 yu
: 1061 1 -2 ku 
: 1065 4 -2 nan
: 1070 1 0 da
: 1073 1 -4 ka
- 1074
: 1077 1 3 se
: 1079 1 3 na
: 1081 3 3 ka 
: 1085 1 1 ni 
: 1089 3 0 i
: 1093 1 -2 ma 
: 1097 4 -2 ha
: 1102 1 0 ne 
: 1105 1 -4 ga 
: 1109 4 -2 ha
: 1114 1 0 e
: 1116 1 -4 ta 
* 1121 4 -2 na
* 1126 1 0 ra
* 1129 4 -4 ba
- 1133
: 1141 1 3 ku
: 1143 1 3 ra
: 1145 3 3 ya
: 1149 2 1 mi 
: 1153 3 0 ka
: 1157 2 -2 ra o
* 1161 4 -2 sa
* 1166 1 -4 ra
* 1169 5 0 ba
- 1174
: 1186 3 -4 ay
: 1190 1 0 ~
- 1191
: 1205 1 3 to
: 1207 1 3 bi
: 1209 1 3 ta
: 1213 3 1 tte 
: 1217 1 0 yu
: 1221 1 -2 ku 
: 1225 4 -2 ka
: 1230 1 -2 na
: 1233 4 -4 ta
- 1237
: 1250 3 -4 ay
: 1254 1 0 ~
- 1255
* 1268 1 3 ko
* 1270 1 3 ko
* 1272 2 3 ro 
: 1277 2 1 ka
: 1280 4 0 ra
: 1285 1 -2 da 
: 1288 5 -2 a
: 1294 1 0 ta
: 1296 1 -4 ma
- 1297
: 1301 1 3 natsu
: 1305 1 3 ka
: 1310 2 1 shii 
: 1313 2 0 a
: 1317 1 -2 ta
: 1321 4 -2 ta
: 1326 1 0 ka 
: 1328 1 -4 sa
- 1329
: 1333 1 3 ashi
: 1337 3 3 mo
: 1341 3 1 to 
: 1345 3 0 ni i
: 1349 2 -2 ma 
: 1353 4 -2 ha
: 1358 1 0 na 
: 1360 2 -4 ga 
: 1365 4 -2 sa
: 1370 1 0 i
: 1373 1 -4 ta 
: 1377 4 -2 na
: 1382 1 0 ra
: 1385 4 -4 ba
- 1389
: 1397 1 3 ku
: 1399 1 3 ra
: 1401 2 3 ya
: 1405 1 1 mi 
: 1409 3 0 ka
: 1413 2 -2 ra o
: 1417 4 -2 sa
: 1422 1 -4 ra
: 1425 5 0 ba
- 1430
: 1442 3 -4 ay
: 1446 1 0 ~
- 1447
: 1461 1 3 to
: 1463 1 3 bi
: 1465 1 3 ta
: 1469 3 1 tte 
: 1473 2 0 yu
: 1477 1 -2 ku 
: 1481 4 -2 ka
: 1487 1 -4 na
: 1490 2 -4 ta
- 1492
F 1505 8 0 woah!
- 1513
: 1517 4 -9 Nan
: 1524 2 -9 do 
* 1530 3 0 da
* 1536 2 -2 tte 
: 1541 2 0 i
: 1546 1 -2 ki
: 1548 3 -4 ~
: 1552 2 -4 ru 
: 1557 2 -4 o
: 1562 2 -7 ma
: 1565 1 -7 e 
: 1568 2 -4 ya 
: 1573 2 -9 ki
* 1578 5 -2 mi 
* 1584 2 -2 no 
: 1589 2 0 na
* 1594 5 0 ka
- 1599
: 1609 3 0 mabu
: 1616 4 -4 ta 
