#ARTIST:Diana King
#TITLE:Shy Guy
#CREATOR:RetroGirl
#BPM:376,17
#YEAR:1994
#VIDEO:v=szjaHbjhauk
#GENRE:Soundtrack
#LANGUAGE:English
#GAP:1893,1102958768643
#ALLKARAOKE_ID:diana-king-shy-guy
#ALLKARAOKE_SID:5046
#ALLKARAOKE_LASTUPDATE:2025-08-27T00:13:15.569Z
#ALLKARAOKE_ARTISTORIGIN:JM
#ALLKARAOKE_REALBPM:27
#ALLKARAOKE_SOURCEURL:Diana King - Shy Guy
#ALLKARAOKE_VOLUME:0,5
#MP3:Diana King - Shy Guy.mp3
F 25 1 7 I
F 27 1 9 ~ 
F 31 4 9 do
F 36 2 6 ~ n’t 
F 41 1 4 wa
F 43 2 6 ~nt 
F 47 3 9 no
F 51 2 11 ~ 
F 56 9 9 fly 
F 68 4 4 guy
F 73 2 6 ~
F 76 3 4 ~
F 80 2 6 ~
F 83 2 4 ~
- 85
F 88 1 7 I
F 90 2 9 ~ 
F 96 4 9 just 
F 103 1 7 wa
F 105 5 6 ~nt 
F 112 1 9 a
F 114 2 11 ~ 
F 119 2 7 shy
F 122 5 9 ~
F 128 2 7 ~ 
F 132 18 6 guy
- 150
F 167 2 9 That’s 
F 173 2 6 what 
F 176 3 6 I 
F 180 4 4 want, 
F 188 4 2 yeh
F 193 11 4 ~
- 204
F 228 2 -3 You 
F 232 1 6 kno
F 234 2 9 ~w 
F 237 3 7 what 
F 241 2 6 I 
F 245 2 4 want, 
F 252 4 2 yeh
F 257 10 4 ~
- 267 486
- 486
: 511 1 2 Oh
: 513 2 4 ~ 
: 518 2 4 Lord 
: 526 2 2 have 
: 534 6 2 mer
: 542 3 2 cy, 
: 547 5 2 mer
: 555 2 2 cy, 
: 558 6 2 mer
: 566 3 2 cy
- 569
: 572 1 4 Di 
: 575 3 4 man 
: 582 3 4 dem 
: 587 2 4 in 
: 590 3 4 a 
: 594 2 2 di 
: 599 6 2 par
: 607 2 2 ty, 
: 611 6 2 par
: 619 2 2 ty, 
: 623 6 2 par
: 631 5 2 ty
- 636
: 643 3 4 Di 
: 648 1 4 o
: 650 3 4 le 
: 655 2 2 dem 
: 662 2 2 se
: 670 3 2 xy, 
: 675 3 2 se
: 682 2 2 xy, 
: 687 2 2 se
: 695 4 2 xy
- 699
: 703 3 4 Watch 
: 711 2 4 dem 
: 718 2 4 just 
: 722 2 2 a 
: 727 1 2 fol
: 730 3 2 low 
: 734 2 2 me, 
: 739 2 2 fol
: 743 2 2 low 
: 746 2 2 me, 
: 751 1 2 fol
: 754 3 2 low 
: 759 12 2 me
- 771
: 791 2 -1 Eve
: 795 2 -1 ry
: 799 2 -1 weh 
: 803 2 -1 me 
: 807 2 -1 go 
: 810 3 -1 di 
: 815 3 -1 man 
: 823 2 -1 dem 
: 827 3 1 a 
: 831 3 2 rush 
: 839 2 1 me
: 842 5 2 ~
- 847
: 854 2 -1 Yes 
: 859 2 -1 a 
: 862 1 -1 whole 
: 864 1 -1 eep 
: 867 2 -1 a 
: 870 2 -1 pret
: 875 2 -1 ty 
: 879 6 -1 boy 
: 887 2 -1 wah 
: 892 1 1 fi 
: 895 3 2 love 
: 903 1 1 me
: 905 2 2 ~
: 908 4 1 ~
- 912
: 915 2 6 A 
: 921 1 4 me
: 923 6 6 ~ 
: 932 1 6 de
: 934 3 4 ~m 
: 943 3 2 lo
: 947 5 4 ~
: 953 2 -1 ~ve
- 955
: 974 2 6 Yes 
: 979 2 6 a 
: 984 2 4 me
: 987 6 6 ~ 
: 995 5 4 dem 
: 1007 2 2 lo
: 1010 8 4 ~
: 1019 2 -1 ~ve
- 1021 1022
- 1022
: 1047 6 -1 True 
: 1055 2 -1 them 
: 1063 2 -1 know 
: 1067 1 -1 me 
: 1071 2 -1 sweet 
: 1076 2 -1 and 
: 1083 1 1 me 
: 1087 2 2 se
: 1095 7 2 xy
: 1103 2 1 ~
- 1105
: 1111 2 -1 Eve
: 1115 2 -1 ry
: 1119 2 -1 where 
: 1124 2 -1 me 
: 1127 2 -1 go 
: 1131 2 -1 me 
: 1135 2 -1 say 
: 1139 2 -1 me 
: 1143 2 -1 e
: 1148 4 1 ver 
: 1154 3 2 rea
: 1160 6 2 dy
: 1167 1 1 ~
- 1168
: 1171 2 6 A 
: 1177 1 4 me
: 1179 6 6 ~ 
: 1188 1 6 de
: 1190 3 4 ~m 
: 1199 3 2 lo
: 1203 5 4 ~
: 1209 2 -1 ~ve
- 1211
: 1229 3 6 Yes 
: 1235 2 6 a 
: 1241 2 4 me
: 1244 5 6 ~ 
: 1251 4 4 dem 
: 1263 2 2 lo
: 1266 7 4 ~
: 1274 2 -1 ~ve
- 1276
: 1294 4 6 But 
: 1299 3 6 I
: 1303 1 7 ~
: 1305 4 9 ~ 
: 1311 5 9 don’t 
: 1319 4 9 want 
: 1327 4 14 some
: 1335 1 14 bo
: 1337 6 13 ~
: 1344 3 11 ~
* 1349 9 9 dy
- 1358
: 1361 3 6 Who’s 
: 1367 1 6 lo
: 1369 1 7 ~
: 1371 3 9 ~
: 1376 3 9 ving 
: 1383 3 9 eve
: 1391 4 14 ry
: 1399 1 14 bo
: 1401 5 13 ~
: 1407 3 11 ~
: 1412 6 9 dy
- 1418
: 1421 1 2 I 
: 1423 3 2 need 
: 1427 2 4 a 
: 1430 3 4 shy
: 1434 4 6 ~ 
: 1440 2 4 guy
: 1443 5 6 ~
: 1449 1 4 ~
- 1450
* 1455 2 2 He’s 
* 1460 1 2 the 
* 1463 3 9 kin
* 1467 2 9 da 
* 1471 1 4 guy
* 1473 4 6 ~
* 1478 6 4 ~ 
* 1487 2 2 who’ll 
* 1495 4 2 on
* 1503 4 4 ly 
* 1511 2 4 be
* 1514 3 6 ~ 
* 1519 1 4 mi
* 1521 4 6 ~
* 1526 5 4 ~ne
- 1531
: 1535 1 2 Oh
: 1537 2 4 ~ 
: 1542 2 4 Lord 
: 1550 2 2 have 
: 1559 5 2 mer
: 1566 2 2 cy, 
: 1571 5 2 mer
: 1579 2 2 cy, 
: 1582 6 2 mer
: 1591 5 2 cy
- 1596
: 1603 1 4 Di 
: 1606 2 4 man 
: 1609 2 4 dem 
: 1612 1 4 in 
: 1614 3 4 a 
: 1618 2 2 di 
: 1623 6 2 par
: 1631 1 2 ty, 
: 1635 5 2 par
: 1642 2 2 ty, 
: 1647 5 2 par
: 1655 6 2 ty
- 1661
: 1666 3 4 Di 
: 1671 2 4 o
: 1674 3 4 le 
: 1678 3 2 dem 
: 1687 2 2 se
: 1695 2 2 xy, 
: 1699 3 2 se
: 1707 1 2 xy, 
: 1711 2 2 se
: 1719 4 2 xy
- 1723
: 1727 3 4 Watch 
: 1734 3 4 dem 
: 1742 2 4 just 
: 1746 2 2 a 
: 1751 1 2 fol
: 1754 2 2 low 
: 1758 2 2 me, 
: 1763 2 2 fol
: 1767 2 2 low 
: 1771 2 2 me, 
: 1775 2 2 fol
: 1779 2 2 low 
: 1783 12 2 me
- 1795
: 1807 1 2 Have 
: 1815 2 2 mer
: 1823 1 2 cy, 
: 1827 2 2 mer
: 1835 2 2 cy, 
: 1839 2 2 mer
: 1847 1 7 cy
: 1849 4 9 ~
- 1853
: 1859 2 4 But 
: 1863 2 4 none 
: 1867 2 4 a 
: 1870 2 4 dem 
: 1875 2 2 no 
: 1879 6 2 move 
: 1887 2 2 me, 
: 1891 4 2 move 
: 1898 2 2 me, 
: 1902 6 2 move 
: 1911 4 2 me
- 1915
: 1918 2 2 Shy
: 1921 4 4 ~ 
: 1926 4 4 guy 
: 1931 2 4 a 
: 1934 2 4 weh 
: 1939 2 2 me 
: 1943 4 2 wan
: 1951 2 2 ty, 
: 1955 4 2 wan
: 1963 2 2 ty, 
: 1966 6 2 wan
: 1975 4 2 ty
- 1979
: 1983 2 4 On
: 1987 4 4 ly 
