#ARTIST:Eir Aoi
#TITLE:IGNITE
#CREATOR:omega-xis
#BPM:342,72
#YEAR:2014
#VIDEO:v=UgQeSizFJ3A
#LANGUAGE:Japanese
#GAP:163,34733893557427
#ALLKARAOKE_ID:eir-aoi-ignite
#ALLKARAOKE_SID:1444
#ALLKARAOKE_LASTUPDATE:2025-02-19T00:11:20.879Z
#ALLKARAOKE_ARTISTORIGIN:JP
#ALLKARAOKE_REALBPM:171
#ALLKARAOKE_SOURCEURL:https://www.youtube.com/watch?v=UgQeSizFJ3A
#ALLKARAOKE_VOLUME:0,75
#ALLKARAOKE_OLDVOLUME:0,75
#MP3:Eir Aoi - IGNITE (TV).mp3
: 23 2 12 Ma
: 27 2 12 yo
: 31 2 12 wa
: 35 2 12 zu 
: 39 2 11 ni 
: 43 2 9 i
: 47 2 11 ma
: 51 30 12 ~
- 81
: 88 2 5 Mu
: 92 2 5 ju
: 96 2 5 n 
: 100 2 5 da
* 104 2 5 ra
* 108 2 12 ke 
* 112 2 9 no
: 116 13 11 ~ 
: 132 2 7 se
: 136 10 9 ~
: 148 2 5 ka
: 152 6 7 ~
: 160 2 5 i 
: 164 8 5 wo
- 172
: 179 2 5 So
: 183 10 7 ~
: 195 2 12 no
: 199 6 14 ~
* 207 2 7 ~ 
* 211 2 5 te
: 215 10 7 ~ 
: 227 2 12 de
: 231 6 14 ~
- 237
: 244 2 16 U
: 248 6 14 chi
* 256 2 11 ha
* 260 2 12 ~
: 264 6 11 na
: 272 2 11 te
: 276 19 12 ~
- 295 393
- 393
: 416 2 4 Ko
: 420 2 11 bo
: 424 2 12 ~
* 428 2 11 re
* 432 2 2 ta
: 436 15 4 ~
- 451
* 460 2 2 Na
* 464 2 0 mi
: 468 6 2 da 
: 476 2 0 no 
: 480 6 2 nu
: 488 6 7 ku
: 496 2 7 mo
: 500 9 9 ~
* 512 2 2 ri 
* 516 2 0 de
: 520 18 2 ~
- 538
: 548 6 2 Ya
: 556 6 4 sa
: 564 2 5 shi
: 568 6 4 sa 
: 576 6 5 wo 
: 584 6 7 shi
: 592 2 7 ~
: 596 6 9 ~
: 604 6 11 tta 
: 612 6 7 ha
: 620 6 5 zu 
: 628 2 4 na
: 632 6 5 ~
: 640 2 4 no 
: 644 19 4 ni
- 663
* 672 2 4 Do
* 676 2 11 u
* 680 2 12 ~
: 684 2 11 shi
: 688 2 2 te
: 692 15 4 ~
- 707
: 716 2 2 Ma
: 720 2 0 ta 
: 724 6 2 ki
: 732 2 0 zu
: 736 6 2 tsu
: 744 6 7 ke
: 752 2 7 a
: 756 10 9 ~
: 768 2 2 ~
: 772 2 0 tte
: 776 19 2 ~
- 795
: 804 1 0 Ni
: 807 3 2 ~
: 812 6 4 ku
: 820 2 5 shi
: 824 6 4 mi 
: 832 6 5 wo 
: 840 6 7 u
* 848 2 4 mi
* 852 6 5 ~
: 860 6 4 da
: 868 2 0 shi
: 872 2 2 ~
: 876 6 0 te 
: 884 10 -1 yu
: 896 6 -1 kun 
: 904 2 -3 da
: 908 2 -1 ro
: 912 23 0 u
- 935
: 957 2 2 Ki
: 961 2 2 shi
: 965 2 2 mu 
: 969 6 2 you 
: 977 2 0 na 
: 981 2 2 i
* 985 2 4 ta
* 989 2 2 mi
: 993 18 4 ~
- 1011
: 1021 2 5 Shi
: 1025 2 7 ~
: 1029 2 7 tte 
: 1033 2 7 so
: 1037 2 7 no 
* 1041 2 5 tsu
* 1045 2 7 yo
* 1049 2 5 sa 
: 1053 22 5 ga
- 1075
: 1085 4 4 Itsu
: 1093 6 5 ka 
: 1101 2 4 mi
* 1105 2 4 ra
* 1109 2 5 ~
: 1113 6 4 i 
: 1121 6 0 wo
- 1127
: 1133 5 0 Ya
: 1141 2 6 sa
: 1145 6 7 ~
: 1153 2 6 shi
: 1157 8 6 ku
- 1165
* 1169 1 0 Tsu
* 1173 2 9 tsu
: 1177 6 8 mu 
: 1185 6 9 no 
* 1193 2 11 da
* 1197 2 9 ro
: 1201 34 11 u
- 1235
: 1242 2 12 Ma
: 1246 2 12 yo
: 1250 2 12 wa
: 1254 2 12 zu 
: 1258 2 11 ni 
* 1262 2 9 i
* 1266 2 11 ma
: 1270 31 12 ~
- 1301
: 1306 2 5 Mu
: 1310 2 5 ju
: 1314 2 5 n 
: 1318 2 5 da
: 1322 2 5 ra
: 1326 2 12 ke 
