#ARTIST:Hamilton
#TITLE:My Shot
#CREATOR:matthu
#BPM:300
#YEAR:2015
#VIDEO:v=lZ4UmlFNdSI
#LANGUAGE:English
#GAP:-50
#ALLKARAOKE_ID:hamilton-my-shot
#ALLKARAOKE_LASTUPDATE:2024-05-20T19:25:45.209Z
#ALLKARAOKE_ARTISTORIGIN:GB
#ALLKARAOKE_REALBPM:180
#ALLKARAOKE_VOLUME:1
#MP3:Hamilton - My Shot [DUET].mp3
: 1 2 14 I 
: 4 2 14 am 
: 8 4 14 not 
: 14 2 14 throw
: 17 2 14 ing 
: 20 1 14 a
: 22 4 14 way 
: 28 10 14 my 
: 41 6 14 shot 
- 47
: 53 2 14 I 
: 57 2 14 am 
: 60 4 14 not 
: 67 1 14 throw
: 69 1 14 ing 
: 71 1 14 a
: 74 3 14 way 
: 79 8 14 my 
: 93 7 14 shot 
- 100
: 105 1 14 Hey 
: 108 2 14 yo, 
: 111 1 14 I’m 
: 113 5 14 just 
: 120 2 14 like 
: 123 2 14 my 
: 126 2 14 coun
: 129 2 14 try 
- 131
: 132 2 14 I’m 
: 136 2 14 young, 
: 142 2 14 scra
: 146 2 14 ppy, 
: 149 2 14 and 
: 152 2 14 hung
: 156 2 14 ry 
- 158
: 159 1 14 And 
: 162 2 14 I’m 
: 165 4 14 not 
: 172 1 14 throw
: 174 1 14 ing 
: 177 1 14 a
: 179 4 14 way 
: 185 4 14 my 
: 191 7 14 shot 
- 198
F 204 2 14 I’
F 207 2 14 mma 
F 211 2 14 get 
F 214 2 14 a 
F 217 3 14 scho
F 221 2 14 lar
F 224 2 14 ship 
F 227 1 14 to 
F 230 4 14 King’s 
F 236 3 14 Col
F 241 7 14 lege 
- 248
F 249 2 14 I 
F 252 2 14 pro
F 255 2 14 ’bly 
F 259 2 14 should
F 262 2 14 n’t 
F 266 4 14 brag, 
F 271 2 14 but 
F 274 3 14 dag, 
F 278 1 14 I 
F 281 2 14 a
F 284 4 14 maze 
F 291 2 14 a
F 294 3 14 sto
F 298 3 14 nish 
- 301
F 303 1 14 The 
F 305 2 14 pro
F 308 2 14 blem 
F 311 2 14 is 
F 315 1 14 I 
F 318 2 14 got 
F 321 1 14 a 
F 324 2 14 lot 
F 328 2 14 of 
F 331 5 14 brains, 
F 337 2 14 but 
F 340 2 14 no 
F 343 2 14 po
F 348 5 14 lish 
- 353
: 357 1 14 I 
: 359 2 14 got
: 362 2 14 ta 
: 366 2 14 hol
: 369 1 14 ler 
: 372 3 14 just 
: 376 2 14 to 
: 379 2 14 be 
: 383 4 14 heard 
- 387
: 389 1 14 With 
: 392 3 14 e
: 397 1 14 ver
: 399 2 14 y 
: 402 4 14 word 
: 407 1 14 I 
: 410 3 14 drop 
: 416 3 14 know
: 420 4 14 ledge 
- 424
F 427 1 14 I’m 
F 429 1 14 a 
: 431 3 14 dia
: 435 2 14 mond 
: 438 2 14 in 
: 441 1 14 the 
: 444 4 14 rough, 
: 455 1 14 a 
: 458 3 14 shin
: 462 1 14 y 
: 464 2 14 piece 
: 468 1 14 of 
: 470 6 14 coal 
