#ARTIST:Hozier
#TITLE:Too Sweet
#CREATOR:DoubleDee
#BPM:234
#YEAR:2024
#VIDEO:v=NTpbbQUBbuo
#LANGUAGE:English
#GAP:18334,358974358973
#ALLKARAOKE_ID:hozier-too-sweet
#ALLKARAOKE_SID:1947
#ALLKARAOKE_LASTUPDATE:2024-08-07T20:58:27.236Z
#ALLKARAOKE_ARTISTORIGIN:IE
#ALLKARAOKE_REALBPM:122
#ALLKARAOKE_VOLUME:0,52
#ALLKARAOKE_OLDVOLUME:0,79
#MP3:Hozier - Too Sweet.mp3
#COVER:Hozier - Too Sweet [CO].jpg
#BACKGROUND:Hozier - Too Sweet [BG].jpg
: 16 1 -5 It 
: 20 2 -2 can’t 
: 24 2 -5 be 
: 28 6 -2 said 
: 36 3 -2 I’m 
: 40 2 -5 an 
: 44 3 -2 ear
: 48 2 -5 ly 
: 52 3 -5 bir
: 56 7 -7 ~d
- 63 64
- 64
: 80 2 -2 It’s 
: 84 2 0 ten 
: 88 2 2 o’
: 92 3 0 clock 
: 96 2 2 be
: 100 3 0 fore 
: 104 2 -2 I 
: 108 3 1 say 
: 112 2 -5 a 
: 116 3 -5 word
: 120 10 -2 ~
- 130 132
- 132
: 148 3 0 Ba
: 152 3 2 by, 
: 156 3 0 I 
: 160 3 2 can 
: 164 3 0 ne
: 168 2 -2 ver 
: 172 2 -2 tell
: 175 5 0 ~
- 180
: 184 3 -2 How 
: 188 3 3 do 
: 192 2 2 you 
: 196 2 0 sleep 
: 200 3 -2 so 
: 204 7 -3 well?
- 211
: 212 2 -3 You 
: 216 2 2 keep 
: 220 3 0 tel
: 224 3 2 ling 
: 228 3 0 me 
: 232 3 -2 to 
: 236 3 2 live
: 240 3 -5 ~ 
: 244 3 -5 righ
: 248 7 -2 ~
: 256 4 2 ~t
- 260
: 272 2 -5 To 
: 276 3 0 go 
: 280 2 2 to 
: 284 3 0 bed 
: 288 2 2 be
: 292 3 0 fore 
: 296 2 -2 the 
: 300 3 2 day
: 304 3 -5 ~
: 308 3 -5 ligh
: 312 7 -7 ~
: 320 2 -2 ~t
- 322
: 336 2 -7 But 
: 340 3 0 then 
: 344 3 2 you 
: 348 3 0 wake 
: 352 2 2 up 
: 356 3 0 for 
: 360 2 -2 the 
: 364 3 1 sun
: 368 3 -5 ~
: 372 3 -5 rise
: 376 9 0 ~
: 386 2 -5 ~
- 388
: 400 2 -7 You 
: 404 3 0 know 
: 408 3 2 you 
: 412 3 0 don’t 
: 416 3 2 got
: 420 2 0 ta 
: 424 2 -2 pre
: 428 5 0 tend,
- 433
: 444 3 3 Ba
: 448 3 2 by, 
: 452 3 0 now 
: 456 2 -2 and 
: 460 5 -3 then
- 465
: 468 2 -7 Don’t 
: 472 2 -7 you 
