#ARTIST:IU
#TITLE:Good Day (좋은 날)
#CREATOR:Teostra
#BPM:256
#YEAR:2010
#PREVIEWSTART:110
#VIDEO:v=jeqdYqsrsA0
#VIDEOGAP:81
#GENRE:K-Pop
#LANGUAGE:Korean
#GAP:94443,90625
#ALLKARAOKE_ID:iu-good-day
#ALLKARAOKE_LASTUPDATE:2024-03-20T06:29:33.165Z
#ALLKARAOKE_ARTISTORIGIN:KR
#ALLKARAOKE_REALBPM:128
#ALLKARAOKE_SOURCEURL:https://usdb.animux.de/index.php?link=gettxt&id=27533
#ALLKARAOKE_PREVIEWEND:160
#ALLKARAOKE_VOLUME:0,7
#P1:Good Day (좋은 날)
#MP3:IU - Good Day.mp3
#COVER:IU - Good Day [CO].jpg
#BACKGROUND:IU - Good Day [BG].jpg
: 17 3 -1 Eo
: 21 3 -1 jjeom 
: 25 3 -1 i
: 29 3 -1 reo
: 33 3 -1 ke 
: 37 7 0 ha
: 45 3 0 neu
: 49 3 0 reun 
: 53 3 0 deo 
: 57 3 0 pa
: 61 3 -1 ran 
: 65 3 0 geon
: 69 1 -1 ji
: 71 10 -1 ~ 
- 81 128
- 128
: 145 3 -1 O
: 149 3 -1 neul
: 153 3 -1 tta
: 157 3 -1 ra 
: 161 3 -1 wae 
: 165 7 0 ba
: 173 3 0 ra
: 177 3 0 meun 
: 181 3 0 tto 
: 185 3 0 wan
: 189 3 -1 byeo
: 193 3 0 kan
: 197 1 -1 ji
: 199 10 -1 ~ 
- 209 256
- 256
: 273 3 1 Geun
: 277 3 1 yang 
: 281 5 1 mo
: 287 5 3 reu
: 293 3 4 neun 
: 297 6 4 cheok 
- 303
: 309 1 1 Ha
: 311 1 1 na 
: 313 5 1 mot
: 319 5 3 deu
: 325 3 4 reun 
: 329 6 4 cheok 
- 335
: 341 1 1 Ji
: 343 1 1 wo
: 345 5 1 beo
: 351 5 3 rin 
: 357 3 4 cheok 
: 361 5 -1 ttan 
: 367 5 4 yae
: 373 3 4 gil 
: 377 5 4 si
: 383 5 6 ja
: 389 3 8 kal
: 393 6 9 kka 
- 399
: 405 1 9 A
: 407 1 9 mu 
: 409 5 9 mal 
: 415 5 8 mot
: 421 3 9 ha
: 425 8 9 ge 
* 441 3 9 i
* 445 7 8 mma
* 453 3 9 tchul
* 457 42 9 kka~~ 
- 499
: 505 3 8 Nun
: 509 3 10 mu
: 513 3 12 ri 
: 517 7 12 cha
: 525 1 8 ol
: 527 5 8 la
: 533 3 8 seo 
: 537 3 8 go
: 541 3 5 gael 
: 545 3 12 deu
: 549 1 13 ~
: 551 16 10 reo 
- 567
: 569 3 10 Heu
: 573 3 12 reu
: 577 3 13 ji 
: 581 5 15 mot
: 587 3 8 ha
: 591 5 8 ge 
: 597 1 8 tto 
: 599 3 8 sal
: 603 4 5 jjak 
: 609 5 10 u
: 615 14 8 seo 
- 629
: 633 3 8 Nae
: 637 3 10 ge 
: 641 3 12 wae 
: 645 5 12 ireo
: 651 1 10 neun
: 653 4 8 ji 
: 659 3 5 mu
: 663 5 8 seun 
: 669 3 10 ma
: 673 3 12 reul 
: 677 5 12 ha
: 683 1 10 neun
: 685 4 8 ji 
- 689
: 691 5 8 O
: 697 3 8 neul 
: 701 3 5 haet
: 705 3 5 deon 
: 709 7 10 mo
: 717 3 8 deun 
: 721 3 10 mal 
: 725 3 8 jeo 
: 729 3 10 ha
: 733 3 8 neul 
: 737 3 10 wi
: 741 14 12 ro 
- 755
: 759 5 12 Han
: 765 3 13 beon
: 769 3 15 do 
