#ARTIST:Natalia Kills
#TITLE:Wonderland
#CREATOR:blackcat6
#BPM:233,93
#YEAR:2011
#VIDEO:v=ayVuQLT00v0
#GENRE:Pop
#LANGUAGE:English
#GAP:27114,052066857606
#ALLKARAOKE_ID:natalia-kills-wonderland
#ALLKARAOKE_LASTUPDATE:2024-10-31T00:11:23.244Z
#ALLKARAOKE_ARTISTORIGIN:GB
#ALLKARAOKE_REALBPM:117
#ALLKARAOKE_VOLUME:0,91
#MP3:Natalia Kills - Wonderland.mp3
#COVER:Natalia Kills - Wonderland [CO].jpg
#BACKGROUND:Natalia Kills - Wonderland [BG].jpg
: 16 3 5 I'm 
: 20 3 5 not 
: 28 3 3 Snow 
: 32 3 3 White
: 36 2 1 ~, 
: 41 2 1 but 
: 44 3 1 I'm
: 48 2 0 ~ 
: 52 4 0 lost 
: 60 2 -2 in
: 64 3 0 side 
: 68 1 1 this 
: 72 3 3 fo
: 76 1 -2 rest
- 77
: 80 3 5 I'm 
: 84 4 5 not 
: 92 3 3 Red 
: 96 3 3 Ri
: 100 3 1 ~
: 104 3 1 ding 
: 109 6 0 Hood, 
: 117 1 0 but 
: 119 1 0 I 
: 121 2 0 think 
* 125 3 -2 the 
* 129 2 0 wolves 
* 133 2 1 have 
* 137 2 3 got 
* 141 1 -2 me
- 142
: 145 2 5 Don't 
: 148 2 5 want 
: 152 1 3 your 
: 156 3 3 sti
: 160 3 3 let
: 164 2 3 tos
- 166
: 169 2 1 I'm 
: 172 3 5 not, 
: 180 2 5 not 
: 185 2 3 Cin
: 188 3 3 de
: 192 3 3 re
: 196 1 3 lla
- 197
: 200 1 1 I 
: 204 4 5 don't 
: 212 3 5 need
: 216 3 3 ~ 
: 220 2 3 a 
: 224 3 3 knight
: 228 2 1 ~, 
: 233 5 1 so 
: 240 3 -2 ba
: 244 1 -2 by, 
: 248 2 -2 take 
: 252 2 -2 off 
: 256 3 -2 all 
: 260 1 -2 your 
: 264 3 -2 ar
: 268 1 -2 mor
- 269
: 272 2 5 You 
: 276 3 5 be 
: 284 1 3 the 
: 288 3 3 Beast
: 292 2 1 ~, 
: 297 2 1 and 
: 300 3 1 I'll
: 304 4 0 ~ 
: 309 5 0 be 
: 316 1 0 the 
: 320 3 0 Beau
: 324 2 0 ty, 
: 328 3 0 Beau
: 332 2 0 ty
- 334
: 337 2 5 Who 
: 340 3 5 needs 
: 348 3 3 true 
: 352 3 3 love
: 356 3 1 ~ 
: 360 1 1 as 
: 364 3 1 long
: 368 3 0 ~ 
: 372 6 0 as 
: 380 2 0 you 
: 384 2 0 love 
: 388 1 0 me 
: 392 3 0 tru
: 396 1 0 ly?
- 397
: 400 3 5 I 
: 404 4 5 want 
: 412 3 3 it 
: 416 3 3 all
: 420 3 1 ~, 
: 424 2 1 but 
: 428 4 5 I 
: 436 4 5 want 
: 444 2 3 you 
: 448 3 3 more
: 452 1 1 ~
- 453
: 456 3 1 Will 
: 460 4 5 you 
: 468 4 5 wake 
: 476 3 3 me 
: 480 3 3 up
: 484 2 1 ~, 
: 488 7 1 boy, 
: 496 1 -2 if 
: 500 2 -2 I 
: 504 2 -2 bite 
: 508 1 -2 your 
: 512 3 -2 poi
: 517 2 -2 son 
: 520 3 -2 ap
: 525 1 -2 ple?
- 526
* 528 2 1 I 
* 533 6 8 don't 
* 540 3 5 be
: 544 7 5 lieve 
: 552 2 3 in 
: 557 10 3 fai
: 568 2 1 ry
: 573 8 1 tales
- 581
: 592 2 1 I 
: 597 6 8 don't 
: 605 2 5 be
: 608 8 5 lieve 
: 617 1 3 in 
: 621 10 3 fai
: 633 1 5 ry
: 637 9 5 tales
- 646
: 656 2 1 I 
: 661 6 8 don't 
: 668 2 5 be
: 672 8 5 lieve 
: 681 1 3 in 
: 685 10 3 fai
: 696 1 1 ry
: 701 9 1 tales
- 710
: 713 1 1 But 
: 716 10 1 I 
: 729 2 8 be
: 732 10 5 lieve 
: 744 2 3 in 
* 748 10 1 you 
* 761 2 8 and 
* 764 4 5 me
- 768
: 773 2 0 Take 
: 776 3 0 me 
: 780 3 0 to 
: 784 3 1 Won
: 788 2 -2 der
: 792 5 -2 land
: 798 2 -4 ~
- 800
: 805 2 0 Take 
: 809 3 0 me 
: 813 2 0 to, 
: 821 1 0 take 
: 824 3 0 me 
: 828 3 0 to
- 831
: 837 1 0 Take 
: 840 4 0 me 
: 845 3 0 to 
: 849 3 1 Won
: 853 3 -2 der
: 857 5 -2 land
: 863 2 -4 ~
- 865
: 869 2 0 Take 
: 873 3 0 me 
: 877 2 0 to, 
: 885 2 0 take 
: 889 3 0 me 
: 893 2 0 to
- 895
: 901 2 0 Take 
: 905 3 0 me 
: 909 3 0 to 
: 913 3 1 Won
: 917 3 -2 der
: 921 5 -2 land
: 927 2 -4 ~
- 929
: 933 2 0 Take 
: 937 3 0 me 
: 941 2 0 to, 
: 949 2 0 take 
: 953 3 0 me 
: 957 2 0 to
- 959
: 965 2 0 Take 
: 969 3 0 me 
: 973 3 0 to 
: 977 3 1 Won
: 981 3 -2 der
: 985 4 -2 land
: 990 1 -4 ~, 
* 993 3 1 Won
* 997 3 -2 der
* 1001 4 -2 land
* 1006 1 -4 ~, 
: 1009 3 1 Won
: 1013 3 -2 der
: 1017 5 -2 land
: 1023 2 -4 ~
- 1025
: 1041 3 5 When 
: 1045 7 5 I 
: 1053 2 3 lay 
: 1057 4 3 my
: 1062 2 1 ~ 
: 1065 2 1 head 
: 1069 7 1 down 
: 1077 2 0 to 
: 1081 3 0 go 
: 1085 1 0 to 
: 1089 3 0 sleep 
: 1093 2 0 at 
: 1097 4 0 night
- 1101
: 1105 2 5 My 
: 1109 5 5 dreams 
: 1117 2 3 con
: 1121 3 3 sist
: 1125 2 1 ~ 
: 1129 1 1 of 
: 1133 6 1 things 
: 1141 1 0 that
: 1143 1 0 'll 
: 1145 1 0 make 
: 1149 3 0 you 
: 1153 3 0 wan
: 1157 1 0 na 
: 1161 6 0 hide
- 1167
: 1173 3 5 Don't 
: 1177 1 5 lock 
: 1181 2 3 me 
: 1184 3 3 in 
: 1188 1 3 your 
: 1193 2 3 tow
: 1196 2 3 er
- 1198
: 1205 3 5 Show 
: 1209 3 5 me 
: 1213 2 3 your 
: 1217 2 3 ma
: 1221 1 3 gic 
: 1225 3 3 pow
: 1229 2 3 ers
- 1231
: 1236 3 5 I'm 
: 1240 3 5 not 
: 1244 1 3 a
: 1248 3 3 fraid 
: 1252 1 3 to 
: 1257 2 3 face 
* 1261 2 3 a 
* 1265 2 -2 lit
* 1268 1 -2 tle 
: 1272 3 -2 bit 
: 1276 1 -2 of 
: 1281 3 -2 dan
: 1285 1 -2 ger, 
: 1289 3 -2 dan
: 1293 2 -2 ger
- 1295
: 1300 3 5 I 
: 1304 3 5 want 
: 1308 2 3 the 
: 1312 3 3 love
: 1316 3 1 ~, 
: 1321 2 1 the 
: 1324 5 1 mo
: 1330 2 0 ~
: 1333 3 0 ney, 
: 1337 3 0 and 
: 1341 1 -2 the 
: 1345 3 0 per
: 1349 2 1 fect 
: 1353 2 3 en
: 1357 3 -2 ding
- 1360
: 1365 3 5 You 
: 1369 2 5 want 
: 1373 1 3 the 
: 1377 3 3 same
: 1381 3 1 ~ 
: 1385 1 1 as 
: 1389 6 0 I, 
: 1397 5 0 I, 
: 1405 2 -2 so 
: 1409 2 0 stop 
: 1413 1 1 pre
: 1417 2 3 ten
: 1421 3 -2 ding
- 1424
: 1429 3 5 I 
: 1433 3 5 wan
: 1437 1 3 na 
: 1441 3 3 show 
: 1445 1 3 you 
: 1449 4 3 how 
: 1461 3 5 good 
: 1465 2 5 we 
: 1469 1 3 could 
: 1473 3 3 be 
: 1477 1 3 to
: 1481 3 3 ge
: 1485 2 3 ther
- 1487
: 1492 4 5 I 
: 1497 3 5 wan
: 1501 3 3 na 
: 1505 3 3 love 
: 1509 1 3 you 
: 1513 3 3 through 
: 1517 2 3 the 
