#ARTIST:Sido
#TITLE:Schlechtes Vorbild
#CREATOR:TrollZor
#BPM:388
#YEAR:2006
#VIDEO:v=9jjvlT78pU4
#LANGUAGE:German
#GAP:-22,917525773195962
#ALLKARAOKE_ID:sido-schlechtes-vorbild
#ALLKARAOKE_SID:3950
#ALLKARAOKE_LASTUPDATE:2025-01-19T00:12:29.353Z
#ALLKARAOKE_ARTISTORIGIN:DE
#ALLKARAOKE_REALBPM:97
#ALLKARAOKE_VOLUME:0,88
#ALLKARAOKE_OLDVOLUME:0,76
#MP3:Sido - Schlechtes Vorbild.mp3
#COVER:Sido - Schlechtes Vorbild [CO].jpg
#BACKGROUND:Sido - Schlechtes Vorbild [BG].jpg
F 12 5 0 Scheiß 
F 18 2 0 e
F 21 7 0 gal 
F 29 5 0 eh..
- 34
R 45 3 0 Das 
R 49 3 0 Ge
R 53 3 0 setz 
R 57 3 0 be
R 61 3 0 deu
R 65 3 0 tet 
R 69 5 0 nichts 
R 77 3 0 für 
R 81 4 0 mich
- 85
R 88 3 0 Ich 
R 92 3 0 geb 
R 96 3 0 schon 
R 100 3 0 im
R 104 3 0 mer 
R 108 3 0 nen 
R 112 4 0 Fick 
R 119 5 0 drauf 
R 127 3 0 was 
R 131 5 0 rich
R 139 3 0 tig 
R 143 5 0 ist
- 148
R 152 3 0 Ich 
R 156 3 0 hab 
R 160 3 0 'ne 
R 164 3 0 gro
R 168 3 0 ße 
R 172 3 0 Fres
R 176 3 0 se 
R 180 3 0 auch 
R 184 3 0 wenn 
R 188 3 0 du 
R 192 3 0 ein 
R 196 5 0 Grizz
R 204 3 0 ly 
R 209 7 0 bist
- 216
R 217 3 0 Mein 
R 221 3 0 Freund 
R 225 3 0 ich 
R 229 5 0 bin 
R 237 3 0 wie 
R 241 3 0 ich 
R 245 5 0 bin 
R 252 3 0 man 
R 256 3 0 es 
R 260 5 0 ist 
R 268 3 0 wie's 
R 272 5 0 ist
- 277
R 281 3 0 Ich 
R 285 3 0 hab 
R 289 3 0 'ne 
R 293 5 0 Ab
R 301 3 0 nei
R 305 3 0 gung 
R 309 3 0 ge
R 313 3 0 gen 
R 317 3 0 Leh
R 321 5 0 rer 
R 332 3 0 und 
R 336 3 0 'ne 
R 340 3 0 Sechs 
R 344 3 0 in 
R 348 3 0 Ma
R 352 5 0 the
- 357
R 360 3 0 Ich 
R 364 3 0 hab's 
R 368 3 0 ihm 
R 372 3 0 ein
R 376 3 0 fach 
R 380 3 0 weg
R 384 3 0 ge
R 388 3 0 nommen 
R 392 3 0 wenn 
