#ARTIST:Ado
#TITLE:Fleeting Lullaby
#CREATOR:HansiMcKlaus
#BPM:356
#YEAR:2022
#VIDEO:v=hyV1AJiFNyo
#LANGUAGE:Japanese
#GAP:523,7640449438202
#ALLKARAOKE_ID:ado-fleeting-lullaby
#ALLKARAOKE_SID:99
#ALLKARAOKE_LASTUPDATE:2024-11-05T00:11:03.204Z
#ALLKARAOKE_ARTISTORIGIN:JP
#ALLKARAOKE_CREATORURL:http://usdb.animux.de/index.php?link=profil&id=174903
#ALLKARAOKE_REALBPM:89
#ALLKARAOKE_SOURCEURL:https://usdb.animux.de/index.php?link=detail&id=28357
#ALLKARAOKE_VOLUME:1
#ALLKARAOKE_OLDVOLUME:0,75
#MP3:Ado - Fleeting Lullaby.mp3
#COVER:Ado - Fleeting Lullaby [CO].jpg
#BACKGROUND:Ado - Fleeting Lullaby [BG].jpg
#END:172500
: 24 6 15 Hi
: 30 6 18 to
: 36 3 20 ri 
: 40 12 22 bo
: 52 9 20 cchi 
: 62 1 18 ni 
: 64 7 18 wa 
: 72 5 22 aki 
: 78 8 20 a
: 86 9 20 ki 
: 96 4 18 na
: 100 1 20 no
- 101
: 104 8 21 Tsu
: 112 6 21 na
: 118 6 21 ga
: 124 11 25 tte 
: 136 6 26 ita
: 142 7 22 i 
: 150 10 22 no
- 160
: 168 8 27 Jun
: 176 3 22 shin 
: 180 4 22 mu
: 184 7 22 ku 
: 192 3 20 na 
: 196 4 18 o
: 200 5 20 moi 
: 206 5 18 no 
: 212 4 20 ma
: 216 7 22 ma 
: 224 7 22 loud 
: 232 8 20 out
- 240 304
- 304
: 328 5 27 Listen 
: 334 1 27 up, 
: 336 4 15 ba
: 340 3 15 by 
: 344 4 15 kie
: 348 3 15 nai 
: 352 2 15 shi
: 354 1 15 mi 
: 356 3 15 no 
: 360 4 15 you 
: 365 3 17 na 
: 369 4 18 ha
: 373 4 17 pi
: 377 2 15 nesu
- 379
: 383 3 15 Ki
: 386 2 15 mi 
: 389 2 15 no 
: 392 2 27 mi
: 394 1 27 mi 
: 396 3 15 no 
: 400 4 15 o
: 404 1 15 ku 
: 406 1 15 e 
: 408 2 15 hoo
: 410 3 15 min
: 413 1 15 gu
- 414
: 416 2 15 Ni
: 418 3 15 ge
: 421 2 15 cha 
: 424 3 15 da
: 427 1 15 me 
: 429 2 17 yo 
: 432 5 18 a
: 437 3 17 bi
: 440 4 15 te
- 444
: 448 4 15 Ta 
: 453 2 13 no 
: 456 5 15 tsui
: 461 2 15 zui 
: 464 5 15 yuru
: 469 3 22 sa
: 472 7 20 nai 
: 480 4 15 uta 
: 485 2 13 no 
: 488 5 15 tsu
: 493 3 15 zu
: 496 4 15 ru 
: 501 3 22 sa
: 504 8 20 puraizu
- 512
: 521 6 15 Ria
: 533 3 14 ru 
: 537 6 15 nan
: 549 2 14 te 
: 552 5 14 ira
: 557 7 15 nai 
: 565 7 17 yo 
: 573 4 18 ne?
- 577
: 581 8 15 A
: 589 3 22 to 
: 593 3 20 de 
: 597 4 18 ki
: 601 4 20 zu
: 605 8 18 i
: 613 8 15 ta
: 621 3 22 tte 
: 625 3 20 mou 
: 629 4 18 o
: 633 4 20 so
: 637 4 18 i
- 641
: 645 6 15 I
: 652 4 22 re
: 656 3 20 te 
: 660 4 18 a
: 664 4 20 ge
: 668 7 18 na
: 677 10 15 in 
: 688 8 13 da
: 696 5 10 ka
: 701 8 15 ra
- 709
: 717 4 15 Te
: 721 4 15 ma
: 725 4 15 do
: 729 4 15 ra
: 735 8 18 se
: 744 13 17 nai
: 757 6 15 de
- 763
: 768 4 15 Be 
: 773 2 15 my 
: 776 6 27 good, 
: 784 6 27 good, 
: 792 6 27 good 
: 800 6 15 boys 
: 808 6 15 an
: 816 2 22 d 
: 821 8 20 gi
: 829 8 22 rls
- 837
: 845 3 15 Go
: 848 5 27 ma
: 853 8 22 ka
: 861 8 20 shi
: 869 7 18 te 
: 877 4 15 tsu
: 881 4 27 yo
: 885 8 22 ga
: 893 8 20 ra
: 901 8 18 nai
: 909 3 15 de 
: 913 4 13 mo
: 917 8 15 u
- 925
: 929 4 15 Ho
: 933 3 13 ra 
: 937 4 15 haya
: 941 2 22 ku 
: 944 5 22 ko
: 949 2 22 cchi 
: 952 8 23 oi
: 960 9 22 de
- 969
: 975 6 15 Su
: 981 2 13 be
: 983 5 15 te 
: 989 1 13 ga 
: 991 6 15 ta
: 997 2 17 no
: 999 8 18 shi
: 1007 6 18 i 
: 1015 6 17 ko
: 1021 8 15 no 
: 1031 8 22 sutee
: 1039 7 22 ji 
: 1047 6 20 jo
: 1053 6 18 u
- 1059
: 1063 5 26 Issho 
: 1069 7 22 ni 
: 1077 8 20 uta
: 1085 7 18 ou 
* 1093 42 15 yo
- 1135
F 1149 1 18 (Ha, 
F 1151 5 27 ha!)
- 1156
F 1160 4 15 I wa
F 1164 3 27 nna 
F 1168 3 22 make 
F 1172 3 20 your 
F 1176 4 20 day, 
F 1181 3 18 do 
F 1185 3 18 my 
F 1189 3 20 thing 
F 1193 5 22 dou
F 1198 5 22 dou 
F 1205 8 22 to 
F 1215 4 22 (Hey)
- 1219
F 1223 4 15 Nee 
F 1229 3 27 o
F 1232 5 22 shi
F 1237 3 20 e
F 1240 4 20 te 
F 1245 3 18 na
F 1248 4 18 ni 
F 1253 2 20 ga 
F 1256 5 22 ike
F 1261 7 22 nai 
F 1269 7 22 no?
- 1276
: 1280 5 22 Ko
: 1285 3 22 no 
: 1289 11 20 ba 
: 1301 3 18 wa 
: 1305 12 20 yuu
: 1317 4 18 to
: 1321 12 20 pi
: 1333 3 18 a 
: 1337 8 17 da
- 1345
: 1349 3 20 Tte 
: 1353 8 22 no
: 1363 4 22 zo
: 1367 1 27 mi 
: 1369 5 26 doo
: 1374 5 22 ri 
: 1380 4 20 de
: 1384 7 22 sho?
- 1391
: 1409 5 15 To
: 1414 3 15 ppa
: 1417 5 15 tsu
: 1422 3 27 te
: 1425 4 27 ki 
: 1430 2 27 na 
: 1433 5 27 uta
: 1438 3 27 ka
: 1441 4 27 ta 
: 1446 8 27 nan
: 1455 1 27 te 
: 1457 5 27 iwa
: 1462 3 27 se
* 1465 20 27 nai
- 1485 1512
- 1512
: 1536 5 15 Ji
: 1541 3 15 hi
: 1544 5 15 bu
: 1549 3 27 kai 
: 1553 4 27 ga 
: 1558 1 27 yue 
: 1560 5 27 ara
: 1565 3 27 ta
: 1568 4 27 ka 
: 1573 5 27 mou 
: 1581 3 30 to
: 1584 5 27 ma
: 1589 3 27 re
* 1592 9 27 nai
- 1601
: 1605 5 22 Na
: 1610 7 20 i
: 1617 5 20 mo
: 1622 3 20 no
: 1625 5 18 ne
: 1630 3 18 da
: 1633 4 18 ri 
: 1638 3 20 ja
: 1641 6 22 nai 
: 1648 5 20 ko
: 1653 2 20 no 
: 1656 8 18 ne
: 1664 5 17 ga
: 1669 5 15 i
- 1674
F 1678 1 12 I 
F 1680 2 27 wa
F 1682 1 27 nna 
F 1684 2 27 know 
F 1688 2 12 ki
F 1690 2 12 mi 
F 1693 1 12 ga 
F 1695 2 12 hoshii 
F 1698 3 12 mo
F 1701 1 12 no
- 1702
F 1704 3 12 Hon
F 1707 2 12 shin 
F 1710 1 12 mo 
F 1712 2 12 ki
F 1714 3 12 zu
F 1717 3 12 ka
F 1720 3 12 se
F 1723 1 12 te 
F 1725 3 12 age
F 1728 4 18 ru 
F 1733 1 12 yo
- 1734
F 1736 3 12 Mi
F 1739 3 12 kae
F 1742 1 12 ri 
F 1744 3 12 nan
F 1747 2 12 te 
F 1750 2 12 i
F 1752 6 12 ranai 
F 1759 3 12 ari
F 1762 3 12 e
F 1765 1 12 nai
- 1766
F 1768 5 18 Tada 
F 1774 2 12 i
F 1776 2 12 ssho 
F 1779 2 12 ni 
F 1782 2 12 ite? 
F 1786 5 22 True 
F 1792 6 12 heart
- 1798
F 1805 6 15 Oh, 
F 1812 3 8 my 
F 1816 4 10 "F" word
- 1820
F 1824 4 12 Zen
F 1828 1 12 shin 
F 1830 1 12 ga 
F 1832 4 12 fuwa
F 1836 2 12 fuwa
F 1838 1 12 tto 
F 1840 3 12 fuan 
F 1844 2 12 na
F 1846 1 12 do 
F 1848 3 12 shatto 
F 1852 3 12 au
F 1855 1 12 to 
F 1857 3 12 bye
- 1860
F 1864 4 12 Han
F 1868 2 12 pa
F 1870 1 12 nai 
F 1872 4 12 suu
F 1876 1 12 ta 
F 1878 1 12 no 
F 1880 4 12 fuan
F 1884 1 12 sa 
F 1886 1 12 wa 
F 1888 4 12 ai
- 1892
F 1896 2 12 Zu
F 1898 1 12 tto 
F 1900 2 12 owa
F 1902 2 12 ra
F 1904 5 12 nai 
F 1910 1 12 you and I 
F 1912 3 12 ko
F 1915 1 12 ko 
F 1917 1 12 ni 
F 1918 1 12 iru 
F 1920 4 12 ka
F 1924 4 12 gi
F 1928 4 12 ri 
F 1936 4 12 (Hey)
- 1940
F 1944 3 12 Trust 
F 1948 3 12 me 
F 1952 3 12 chou 
F 1956 2 12 ta
F 1958 2 12 no
F 1960 7 12 shii 
F 1968 2 12 hee 
F 1971 2 12 hee 
