#ARTIST:Aimer
#TITLE:Brave Shine
#CREATOR:Snimax
#BPM:342,04
#YEAR:2015
#VIDEO:v=7vZp3yGxZXE
#GENRE:Anime
#LANGUAGE:Japanese
#GAP:15751,346041398667
#ALLKARAOKE_ID:aimer-brave-shine
#ALLKARAOKE_SID:5370
#ALLKARAOKE_LASTUPDATE:2026-01-07T22:18:15.200Z
#ALLKARAOKE_ARTISTORIGIN:JP
#ALLKARAOKE_REALBPM:171
#ALLKARAOKE_VOLUME:0,5
#MP3:Aimer - Brave Shine (TV).mp3
: 23 2 -4 Hi
: 27 2 -4 da
: 31 2 3 ri 
: 35 6 3 te 
: 43 6 3 ni 
: 51 5 0 ka
: 59 6 -2 ku
: 67 2 -4 shi
: 71 2 -2 ta
: 75 3 0 ~
- 78
* 87 2 -9 Ne
* 91 2 -9 ga
: 95 2 -2 i 
: 99 6 -2 wa 
: 107 6 -2 ne
: 115 2 -2 ga
: 119 2 0 ~
: 123 2 -2 i
: 127 2 -4 ~ 
: 131 6 -4 no 
: 139 6 -4 ma
: 147 6 -4 ma 
: 155 2 -4 de 
* 159 2 3 sa
* 163 2 3 me
: 167 8 0 nai
- 175
: 183 2 -4 Yu
: 187 2 1 me
: 191 10 0 ~
: 203 3 -2 ~
- 206
* 214 4 3 Mi
: 220 2 -4 te
: 224 6 -2 ~
: 232 28 -4 ta
- 260
: 279 2 -4 Mi
: 283 2 -4 gi 
: 287 2 3 te 
: 291 2 3 ni 
: 295 2 3 wa 
: 299 2 1 ka
: 303 2 3 wa
: 307 6 0 ra
: 315 6 -2 nu 
: 323 2 -4 ki
* 327 2 -2 oku
* 331 3 0 ~
- 334
: 343 2 -9 Da
* 347 2 -9 re 
* 351 2 -4 mo 
* 355 2 -2 shi
: 359 2 -2 ra
: 363 6 -2 nai 
: 371 4 0 se
: 379 6 -2 ka
: 387 6 -4 i 
: 395 6 -4 no 
: 403 6 -4 ha
: 411 2 -4 te 
: 415 2 3 ya
: 419 2 3 ma
: 423 9 0 nai
- 432
: 439 2 0 A
: 443 6 -2 me
: 451 2 -4 ~ 
: 455 2 -2 ni
: 459 3 0 ~
- 462
: 471 2 -2 U
: 475 2 -4 ta
: 479 2 -2 ~
: 483 2 -4 ~
: 487 2 -4 re
: 491 6 -2 te
* 499 5 0 i
: 507 35 -2 ta
- 542 544
- 544
: 567 2 3 Ma
: 571 2 3 mo
: 575 2 3 ri
: 579 6 3 ta
: 587 6 3 i 
* 595 2 3 mo
* 599 2 5 ~
: 603 6 3 no 
: 611 12 -2 wo
- 623
: 631 2 -2 Ma
: 635 2 -4 mo
: 639 2 0 re
: 643 2 -2 ru 
: 647 2 -2 tsu
: 651 5 -4 yo
: 659 16 -2 sa
- 675
* 691 2 -4 So
: 695 2 3 re 
: 699 2 3 wo 
: 703 6 3 shin
: 711 2 3 ji
: 715 6 3 ra
: 723 2 3 re
: 727 2 5 ~
: 731 2 3 ~
: 735 6 3 na
: 743 2 3 ku
* 747 6 8 na
: 755 2 7 ru 
: 759 6 3 yo
: 767 2 1 ~
: 771 2 1 wa
: 775 8 0 sa
- 783
: 791 2 3 Su
: 795 2 3 be
: 799 6 3 te 
: 807 2 -4 u
: 811 6 -4 ke
* 819 2 -4 i
* 823 2 -5 re
: 827 17 -4 te
- 844
: 855 2 3 A
: 859 2 3 shi
: 863 4 3 ta 
: 869 2 0 wo 
: 875 5 3 sa
: 883 4 5 ga
: 891 2 5 su
: 895 10 7 ~
- 905
: 911 10 8 Brave
* 923 2 7 ~ 
: 927 2 7 shine
: 931 36 8 ~
- 967
: 975 2 8 Te 
: 979 6 10 wo 
: 987 2 10 no
: 991 6 12 ~
: 999 2 13 ba
: 1003 2 10 se
: 1007 2 12 ~
: 1011 6 13 ba 
* 1019 2 8 my
* 1023 2 10 ~
: 1027 5 8 ~ 
: 1035 6 7 sav
* 1043 2 8 iour
* 1047 2 10 ~ 
: 1051 2 10 light
: 1055 37 8 ~
- 1092
: 1103 6 8 Ki
* 1111 2 8 zu 
* 1115 2 7 da
* 1119 2 8 ~
* 1123 2 3 ~
: 1127 2 3 ra
: 1131 6 3 ke 
: 1139 6 1 no 
: 1147 6 0 yoru 
: 1155 6 1 you 
: 1163 6 3 saved 
: 1171 6 7 my 
: 1179 2 7 life
: 1183 35 8 ~
- 1218
: 1231 2 8 Ka
: 1235 6 10 za
: 1243 2 10 shi
: 1247 6 12 ~
: 1255 2 13 ta 
: 1259 6 12 yai
* 1267 6 13 ba 
: 1275 2 8 no
: 1279 2 10 ~
: 1283 2 8 ~ 
: 1287 2 8 sa
: 1291 2 8 ki
: 1295 2 7 ~ 
: 1299 4 8 ni
- 1303
: 1307 2 3 O
: 1311 6 12 mo
: 1319 2 13 i 
: 1323 2 10 wo
: 1327 6 12 ~ 
: 1335 2 13 ka
: 1339 6 12 sa
* 1347 6 8 ne
: 1355 8 3 ta
- 1363
* 1371 2 3 I
* 1375 2 10 no
* 1379 2 12 ~
* 1383 2 13 ri 
: 1387 6 12 wa 
: 1395 6 13 to
: 1403 2 13 ki
: 1407 10 15 ~
* 1419 2 8 ~ 
* 1423 3 8 wo
- 1426
: 1431 2 8 Ko
: 1435 10 7 e
* 1447 2 7 te
* 1451 2 8 ~
* 1455 2 7 ~
: 1459 66 8 ~
: 1527 4 3 ~
- 1531
: 1551 6 8 Your 
: 1559 14 7 brave 
: 1575 6 8 shine
* 1583 2 7 ~
: 1587 80 8 ~
E
