#ARTIST:DALI
#TITLE:Moonlight Densetsu
#CREATOR:Rubn4
#BPM:280,04
#YEAR:1992
#VIDEO:v=D4WY94x63JE
#LANGUAGE:Japanese
#GAP:27692,288244536496
#ALLKARAOKE_ID:dali-moonlight-densetsu
#ALLKARAOKE_SID:5195
#ALLKARAOKE_LASTUPDATE:2025-09-17T13:58:57.229Z
#ALLKARAOKE_ARTISTORIGIN:JP
#ALLKARAOKE_REALBPM:140
#ALLKARAOKE_VOLUME:1
#MP3:DALI - Moonlight Densetsu.mp3
#COVER:DALI - Moonlight Densetsu [CO].jpg
#BACKGROUND:DALI - Moonlight Densetsu [BG].jpg
: 19 2 -4 Go
: 23 2 0 me
: 27 2 3 n 
: 31 5 7 ne 
: 39 2 7 su
: 43 5 5 na
: 51 2 5 o 
: 55 2 3 ja
: 59 2 3 na
: 63 5 2 ku
: 71 3 5 te
- 74
: 83 2 -4 Yu
: 87 2 -1 me 
: 91 2 2 no 
: 95 5 5 na
: 103 2 5 ka 
: 107 5 3 na
: 115 2 3 ra 
: 119 5 2 i
: 127 5 0 e
: 135 3 3 ru
- 138
* 147 2 -4 Shi
* 151 2 0 ko
* 155 2 3 u
: 159 5 7 kai
: 167 2 7 ro 
: 171 5 5 wa 
: 179 2 5 sho
: 183 2 3 o
: 187 2 3 to 
: 191 5 2 sun
: 199 3 5 zen
- 202
: 211 2 -4 I
: 215 2 0 ma 
: 219 2 2 su
: 223 5 5 gu 
: 231 2 7 a
: 235 2 5 i
: 239 2 3 ta
: 243 5 2 i
: 251 2 2 yo
: 255 3 3 ~
- 258
: 275 2 -4 Na
: 279 2 0 ki
: 283 2 3 ta
: 287 5 7 ku 
: 295 2 7 na
: 299 5 5 ru 
: 307 2 5 you
: 311 5 3 na 
: 319 5 2 moon
: 327 3 5 light
- 330
: 339 2 -4 De
: 343 2 -1 n
: 347 2 2 wa 
: 351 5 5 mo 
: 359 2 5 de
: 363 2 5 ki
: 367 2 3 na
: 371 5 2 i 
* 379 7 0 mid
* 391 3 3 night
- 394
: 403 2 -4 Da
: 407 2 0 ~
: 411 2 3 tte 
: 415 5 7 jun
: 423 2 7 jo
: 427 5 5 ~ 
: 435 2 5 do
: 439 2 7 u
: 443 2 7 shi
: 447 2 10 yo
: 451 2 8 ~
: 455 3 8 u
- 458
: 467 2 8 Ha
: 471 2 7 ~
: 475 2 5 to 
: 479 5 7 wa 
: 487 5 5 man
: 495 2 3 ge
: 499 5 2 kyo
: 507 3 0 u
- 510 516
- 516
: 535 5 0 Tsu
: 543 22 8 ki 
: 567 2 10 no 
* 571 2 10 hi
* 575 5 12 ~
: 583 5 12 ka
: 591 2 10 ri 
: 595 10 8 ni 
: 607 10 7 mi
* 619 2 5 chi
* 623 2 3 bi
* 627 5 5 ka
: 635 2 5 re
: 639 11 7 ~
- 650
: 663 5 0 Na
: 671 22 8 n
: 695 2 10 do 
: 699 2 10 mo
: 703 3 12 ~
- 706
: 715 2 12 Me
: 719 3 12 gu
: 725 3 10 ri 
: 731 2 8 a
: 735 35 7 u
- 770
* 787 2 -4 Se
* 791 2 0 i
* 795 2 3 za 
* 799 5 7 no 
: 807 2 7 ma
: 811 5 5 ta
: 819 2 5 ta
: 823 2 3 ki 
: 827 2 3 ka
: 831 5 2 zo
: 839 3 5 e
- 842
: 851 2 -4 U
: 855 2 -1 ra
: 859 2 2 na
: 863 5 5 u 
: 871 2 7 ko
: 875 2 5 i 
: 879 2 3 no 
: 883 5 2 yu
