#ARTIST:Eve
#TITLE:Kaikai Kitan
#CREATOR:wolf359
#BPM:372
#YEAR:2020
#VIDEO:v=GwaRztMaoY0
#GENRE:J-pop
#LANGUAGE:Japanese
#GAP:17535,93548387097
#ALLKARAOKE_ID:eve-kaikai-kitan
#ALLKARAOKE_SID:1553
#ALLKARAOKE_LASTUPDATE:2025-04-29T00:13:01.850Z
#ALLKARAOKE_ARTISTORIGIN:JP
#ALLKARAOKE_CREATORURL:https://ultrastar-es.org/en/canciones?creador=wolf359
#ALLKARAOKE_REALBPM:185
#ALLKARAOKE_SOURCEURL:https://ultrastar-es.org/en/canciones?artista=Eve&cancion=Kaikai%20Kitan%20(TV)
#ALLKARAOKE_VOLUME:0,75
#MP3:Eve - Kaikai Kitan (TV).mp3
#COVER:Eve - Kaikai Kitan (TV).jpg
#MEDLEYSTARTBEAT:749
#MEDLEYENDBEAT:1292
: 25 2 -12 U
: 29 2 -10 zo
: 33 2 -12 u mu
: 38 5 -10 zou 
: 45 3 -12 hi
: 50 5 -10 to 
: 58 2 -12 no 
: 62 3 -10 na
: 66 1 -10 ri
- 67
: 70 2 -12 kyo
: 75 3 -10 sei 
: 82 1 -12 shin
: 86 5 -10 shou 
: 93 3 -12 jin
: 98 4 -10 ga
: 103 2 -12 i 
: 106 1 -14 aa 
: 110 2 -14 mo
: 114 1 -7 no
: 116 4 -5 ~
: 121 2 -5 no
: 126 4 -7 ke 
: 131 1 -7 mi
: 134 1 -12 ta
: 136 2 -10 ~
: 139 1 -10 i 
: 143 2 -12 da
: 146 3 -14 ~
- 149
: 154 1 -12 kyo
: 158 4 -10 shi
: 163 1 -10 n 
: 167 1 -12 tan
: 171 3 -10 ka
: 175 1 -10 i 
: 178 3 -12 i
: 183 3 -10 nochi 
: 191 2 -12 ya
: 194 5 -10 doshi
- 199
: 203 1 -12 a
: 207 2 -10 to 
: 211 1 -12 wa 
: 214 3 -10 pa
: 220 5 -10 ppa
: 227 1 -12 ra 
: 231 1 -10 pa 
: 235 1 -10 na 
: 238 1 -14 na
: 244 3 -5 ka
: 249 4 -5 mi 
: 255 3 -7 na
: 260 1 -7 ki 
: 263 2 -10 nin
: 268 3 -12 gen
- 271
: 283 1 -12 yo
: 287 4 -10 seru 
: 295 1 -12 ki
: 299 4 -10 ta
: 304 1 -10 i 
: 308 1 -12 fu
: 312 3 -10 byou
: 317 4 -10 dou 
: 323 2 -12 na 
: 328 1 -10 jin
: 332 3 -12 sei
- 335
: 339 4 -12 sa
: 344 2 -10 i
: 347 3 -12 no
: 352 1 -10 u 
: 356 1 -12 mo 
: 360 3 -10 nai 
: 364 4 -14 dai
: 371 3 -7 jo
: 375 2 -5 u 
: 380 2 -7 hi 
: 384 2 -7 nichi
: 391 2 -12 jo
: 394 3 -10 u 
: 400 4 -12 ga
- 404
: 411 1 -12 on
: 416 3 -10 shin 
: 424 2 -12 byou
: 429 4 -10 dou 
: 435 2 -12 ni 
: 440 4 -10 botsu 
: 447 2 -12 ko
: 452 3 -10 sei
- 455
: 460 2 -12 ta
: 465 2 -10 doru 
: 472 2 -12 ki
: 475 1 -10 ~
: 477 3 -10 oku 
: 484 2 -12 bo
: 488 3 -10 ku 
: 492 1 -12 ni 
: 496 2 -14 i
: 500 4 -7 basho
: 505 2 -5 ~ 
: 512 3 -5 na
: 517 2 -3 do 
: 521 3 -2 na
: 525 1 -2 i 
* 528 3 5 ka
: 533 2 1 ra
* 536 12 2 ~
- 548
: 557 2 -2 Yu
: 560 3 -2 me 
: 565 2 -2 no 
: 568 5 -2 haza
: 577 3 -2 ma 
: 581 1 -2 de 
: 584 3 9 na
: 588 1 10 ~
: 590 1 10 i
: 593 1 9 te
: 597 2 4 na
: 600 1 5 ~
: 602 1 5 i
: 605 3 1 de
: 609 6 2 ~
- 615
: 621 5 -2 do
: 628 2 -2 nna 
: 633 3 0 ka
: 637 1 0 o 
: 642 2 -2 su
: 645 1 -2 re
: 648 5 5 ba 
: 654 4 2 ii 
: 661 3 -2 ka
: 665 6 0 ~ 
: 673 2 -2 wa
* 677 8 5 ka
* 689 3 2 tte
* 693 7 0 ru
: 701 2 -2 ~ 
: 705 2 -2 da
: 710 5 -2 ke
: 717 2 -2 do 
: 721 3 0 ma
: 725 2 -2 da
- 727
: 733 2 2 ko
: 737 3 2 ta
: 741 2 2 e
: 746 1 2 te 
: 750 1 2 ku
* 753 3 10 re 
* 758 9 9 yo
- 767
: 774 2 -2 Ya
: 778 2 -2 mi 
: 782 1 -2 wo 
: 786 2 10 ha
: 790 4 9 ra
: 799 4 10 tte, 
: 807 1 -2 ya
: 810 2 -2 mi 
: 814 1 -2 wo 
* 818 3 10 ha
* 823 3 9 ra
* 830 5 10 tte
- 835
: 839 1 -2 yo
: 842 2 -2 ru 
: 846 2 -2 no 
: 850 1 -2 to
: 854 7 7 ba
: 862 3 5 ri 
: 867 3 5 ga 
: 871 2 2 o
: 874 2 2 ri
: 878 3 3 ta
: 882 3 5 ra 
: 886 3 0 a
: 890 2 2 i
: 894 2 0 zu 
: 899 3 -2 da
- 902
: 906 2 -2 a
: 909 1 -2 i
: 912 4 5 tai shi
: 919 4 5 te 
: 926 3 -2 ma
: 931 2 -2 wa
: 935 1 -2 ru 
: 939 2 -2 ka
: 942 1 -2 n
: 945 3 5 jou
: 950 5 5 sen
- 955
: 959 3 -2 za
: 963 2 -2 re
: 967 1 -2 go
: 971 2 -2 to 
: 975 2 -3 na
: 979 2 -2 do 
: 983 3 0 wa 
: 991 1 0 ha
: 995 3 2 kisu
: 1003 3 2 te 
: 1007 1 2 i
: 1011 1 10 ke 
: 1015 3 10 to
: 1019 7 9 ~
- 1026
: 1031 2 -2 ma
: 1035 2 -2 da 
: 1039 1 -2 to
: 1043 2 10 me
: 1048 4 9 na
: 1053 1 9 i
: 1056 4 10 de 
: 1063 2 -2 ma
: 1068 1 -2 da 
: 1072 1 -2 to
: 1075 3 10 me
: 1080 4 9 na
: 1085 1 9 i
: 1088 3 10 de
- 1091
: 1096 2 -2 da
: 1099 3 -2 re 
: 1104 2 -2 yo
: 1107 2 -2 ri 
: 1111 3 5 mo
: 1115 2 7 ~ 
: 1119 3 5 sa
: 1123 4 7 toku 
: 1131 5 7 a
: 1137 1 5 ru 
: 1140 3 7 machi 
: 1147 5 7 ni 
: 1153 1 5 u
: 1156 3 7 ma
: 1160 1 5 re
: 1164 1 7 shi 
: 1168 2 7 ko
: 1171 2 10 no 
: 1176 5 14 shou
: 1184 3 12 ta
: 1188 2 10 i 
: 1192 2 12 wo
: 1195 3 10 ~
- 1198
: 1202 1 10 i
: 1204 3 7 ma 
: 1208 1 5 wa 
: 1212 3 7 ta
: 1217 3 10 da 
: 1224 2 -2 no
: 1228 4 -2 ro
: 1233 1 -2 i 
: 1236 3 -2 no
: 1241 1 -2 ro
: 1244 3 10 wa
: 1249 1 9 re
: 1252 3 7 ta 
: 1256 2 9 bo
: 1261 2 7 ku 
: 1264 3 5 no 
: 1268 3 7 mi
: 1273 4 6 ra
: 1278 1 6 i 
: 1280 5 6 wo 
: 1289 6 7 sou
: 1297 4 9 zou shi
: 1305 3 9 te
: 1309 2 10 ~
: 1312 1 9 ~
: 1314 3 10 ~
- 1317
: 1325 1 -5 Ha
: 1329 3 -2 shi
* 1337 11 0 tte
: 1349 5 -2 ~ 
: 1357 2 -2 ko
: 1361 4 5 ro
: 1366 2 5 n
* 1369 5 5 de
- 1374
: 1381 3 -2 ki
: 1385 3 -2 e
: 1389 5 -2 na
: 1395 1 -2 i 
: 1397 1 2 i
: 1401 5 7 ta
: 1407 1 2 mi 
: 1409 4 2 da
: 1414 1 2 i
: 1417 3 0 te 
: 1421 7 -2 wa
- 1428
: 1434 1 0 se
: 1438 4 3 ka
: 1443 1 3 i 
: 1445 3 3 ga 
: 1449 4 5 ma
: 1457 3 -5 tte
: 1462 8 -2 ru
- 1470
: 1474 2 -5 ko
: 1478 3 -5 no 
: 1482 3 -5 i
: 1490 2 0 sshun
: 1493 3 2 ~ 
: 1498 17 0 wo
: 1516 15 -2 ~
E
