#ARTIST:Linkin Park
#TITLE:Unshatter
#CREATOR:DoubleDee
#BPM:290
#YEAR:2025
#PREVIEWSTART:63
#VIDEO:v=_B3ONO5nh6g
#GENRE:Alternative Rock
#LANGUAGE:English
#GAP:2717,2413793103447
#ALLKARAOKE_ID:linkin-park-unshatter
#ALLKARAOKE_SID:5201
#ALLKARAOKE_LASTUPDATE:2025-09-19T00:12:10.395Z
#ALLKARAOKE_ARTISTORIGIN:US
#ALLKARAOKE_REALBPM:145
#ALLKARAOKE_PREVIEWEND:93
#ALLKARAOKE_VOLUME:0,8
#MP3:Linkin Park - Unshatter.mp3
#COVER:Linkin Park - Unshatter [CO].jpg
#BACKGROUND:Linkin Park - Unshatter [BG].jpg
: 19 2 6 And 
: 23 6 13 we’ll 
: 31 3 13 ne
: 35 2 11 ver 
: 39 2 11 e
: 43 2 9 ver 
: 47 2 9 put 
: 51 2 9 it 
: 55 2 9 back 
: 59 2 8 to
: 63 3 8 ge
: 67 3 9 ther
- 70
: 75 2 4 I 
: 79 2 8 shoul
: 83 2 9 da 
: 87 4 9 known 
: 95 2 9 bet
: 99 2 9 ter, 
: 103 4 6 you’re 
: 111 10 13 ly
: 123 3 11 ~
: 127 3 11 ~
: 131 9 9 ~in’
- 140 256
- 256
R 275 2 0 May
R 279 2 0 be 
R 283 2 0 I 
R 287 1 0 made 
R 289 1 0 it 
R 291 3 0 more 
R 295 3 0 com
R 299 2 0 pli
R 303 2 0 ca
R 307 2 0 ted 
R 311 2 0 than 
R 315 2 0 it 
R 319 2 0 had 
R 323 2 0 to 
R 327 2 0 be
- 329
R 339 1 0 May
R 341 1 0 be 
R 343 2 0 I’m 
R 347 2 0 mis
R 351 2 0 ta
R 355 2 0 ken, 
R 359 2 0 but 
R 363 2 0 it’s 
R 367 2 0 ta
R 371 2 0 king 
R 375 2 0 some
R 379 2 0 thing 
R 383 2 0 out 
R 387 2 0 of 
R 391 3 0 me
- 394
R 403 1 0 May
R 405 1 0 be 
R 407 3 0 I’m 
R 411 2 0 too 
R 415 2 0 pa
R 419 2 0 tient 
R 423 2 0 ’cause 
R 427 2 0 I 
R 431 2 0 wai
R 435 2 0 ted 
R 439 2 0 un
R 443 2 0 til 
R 447 2 0 now 
R 451 2 0 to 
R 455 3 0 see
- 458
R 467 2 0 Take 
R 471 2 0 what 
R 475 2 0 you 
R 479 1 0 say 
R 481 1 0 and 
R 483 3 0 I’ll 
R 487 2 0 ru
R 491 2 0 mi
R 495 2 0 nate 
R 499 2 0 a
R 503 2 0 way 
R 507 2 0 re
R 511 2 0 a
R 515 2 0 li
R 519 3 0 ty
- 522
: 531 2 6 But 
: 535 6 9 we’ll 
: 543 3 9 ne
: 547 2 9 ver 
: 551 2 9 e
: 555 2 6 ver 
: 559 2 9 put 
: 563 2 9 it 
: 567 2 9 back 
: 571 2 9 to
: 575 3 9 ge
: 579 2 9 ther
- 581
: 587 2 4 I 
: 591 2 9 shoul
: 595 2 9 da 
: 599 5 9 known 
: 607 2 9 bet
: 611 3 9 ter, 
: 615 6 6 you’re 
: 623 10 8 ly
: 635 3 9 ~
: 639 15 9 ~in’
- 654
: 671 12 14 Un
: 687 15 13 shat
: 703 9 9 ter 
: 715 3 9 the 
: 719 3 11 pic
: 727 6 11 ture 
: 735 3 11 I 
: 739 3 9 was 
: 743 2 11 try
: 747 2 9 na 
: 751 7 11 see 
: 759 6 13 my
: 767 6 8 self 
: 775 13 9 in
- 788
: 799 12 14 Un
: 815 15 13 shat
: 831 9 9 ter 
: 843 3 9 the 
: 847 6 11 pro
: 855 6 11 mise 
: 863 3 11 that 
: 867 3 9 I 
: 871 2 11 coul
: 875 2 9 dn’t 
: 879 7 11 help 
: 887 6 13 be
: 895 11 13 lieve
: 907 3 11 ~
- 910
: 915 2 2 I 
: 919 5 9 don’t 
: 927 6 9 know 
: 935 3 9 how 
: 939 2 9 it 
: 943 3 9 got 
: 951 4 9 so 
: 959 7 9 cold
- 966
: 967 3 9 But 
: 971 2 6 my 
: 975 4 9 chest 
: 983 2 9 is 
: 987 2 6 a 
: 991 7 9 hole 
: 999 2 9 and 
: 1003 2 9 the 
: 1007 5 11 whole 
: 1015 5 13 world 
: 1023 6 8 fell 
: 1031 11 9 in
- 1042
: 1055 12 14 Un
: 1071 15 13 shat
: 1087 12 9 ter 
: 1103 19 13 me
: 1123 3 14 ~
: 1127 3 13 ~
: 1131 27 11 ~
- 1158
R 1171 1 0 I 
R 1173 1 0 was 
R 1175 2 0 wai
R 1179 2 0 tin’ 
R 1183 2 0 pa
R 1187 2 0 tient
R 1191 2 0 ly, 
R 1195 2 0 sa
R 1199 2 0 vin’ 
R 1203 2 0 judg
R 1207 2 0 ment 
R 1211 2 0 for 
R 1215 4 0 too 
