#ARTIST:Tatsuya Kitani
#TITLE:Rapport
#CREATOR:DeinAlptraum, HansiMcKlaus
#BPM:248
#YEAR:2021
#VIDEO:v=k4eSya1zIl8
#LANGUAGE:Japanese
#GAP:31421,774193548386
#ALLKARAOKE_ID:tatsuya-kitani-rapport
#ALLKARAOKE_LASTUPDATE:2024-02-20T21:16:31.238Z
#ALLKARAOKE_ARTISTORIGIN:JP
#ALLKARAOKE_REALBPM:124
#ALLKARAOKE_VOLUME:0,98
#MP3:Tatsuya Kitani - Rapport.mp3
#COVER:Tatsuya Kitani - Rapport [CO].jpg
#BACKGROUND:Tatsuya Kitani - Rapport [BG].jpg
#END:217500
: 17 1 8 Ga
: 19 3 11 ran
: 23 5 15 dou 
: 29 3 13 no 
: 33 3 15 mu
: 37 3 18 ne 
: 41 3 15 ni 
: 45 3 13 o
: 49 3 11 bo
: 53 3 10 e
: 57 3 10 ta 
: 61 1 10 i
: 63 1 11 wa
: 65 5 10 kan 
: 71 1 6 sa
: 73 4 3 e 
- 77
: 81 3 3 Hi
: 85 3 6 to
: 89 5 8 ri 
: 95 1 6 ki
: 97 5 8 ri 
: 103 1 6 de 
: 105 3 8 wa 
: 109 3 6 gyo
: 113 3 8 shi 
: 117 3 11 ki
: 121 3 10 re
: 125 3 6 na
: 129 3 3 i 
- 132
: 135 1 3 Ko
: 137 3 8 no 
: 141 3 6 me 
: 145 3 3 mo 
: 149 3 1 ha
: 153 5 1 na 
: 159 1 -1 mo 
: 161 5 1 mi
: 167 1 -1 mi 
: 169 6 3 mo 
- 175
: 181 3 3 U
: 185 3 6 chi 
: 189 1 6 ga
: 191 5 6 wa 
: 197 3 6 no 
: 201 3 6 bo
: 205 3 3 ku 
: 209 3 6 ni 
: 213 3 3 to
: 217 5 6 do
: 223 3 8 ka
: 227 12 3 nai 
- 239 256
- 256
: 273 3 8 Bo
: 277 3 11 u
: 281 5 15 ba
: 287 1 15 ku 
: 289 5 15 ta
: 295 1 15 ru 
: 297 7 15 hai 
: 305 5 15 no 
: 311 1 15 u
: 313 3 13 mi 
: 317 1 11 de
: 319 4 13 ~ 
- 323
: 329 3 6 I
: 333 3 8 ta
: 337 4 11 mi 
: 342 2 18 sa
: 345 5 18 e 
: 351 7 18 wa
: 359 1 18 su
: 361 3 18 re
: 365 3 15 te
: 369 5 15 i
: 375 5 13 tan
: 381 4 11 da 
- 385
: 393 3 8 So
: 397 3 11 n
: 401 5 8 na 
: 407 5 15 bo
: 413 3 13 ku 
: 417 3 13 no 
: 421 3 11 me 
: 425 5 13 no 
: 431 5 15 mae 
: 437 8 10 ni 
: 449 3 6 a
: 453 3 6 ra
: 457 3 6 wa
: 461 3 3 re
: 465 3 6 ta 
: 469 3 11 a
: 473 5 10 na
: 479 3 8 ta 
: 483 10 8 ni 
- 493 516
- 516
: 533 3 8 Mi
: 537 5 20 e
: 543 5 20 nai 
: 549 3 18 mo
: 553 3 20 no 
: 557 3 18 wo 
