#ARTIST:The Saturdays
#TITLE:Disco Love
#CREATOR:magigram
#BPM:245,96
#YEAR:2013
#VIDEO:v=LmncQGy_7Lk
#GENRE:Rap
#LANGUAGE:English
#GAP:11834,231582371118
#ALLKARAOKE_ID:the-saturdays-disco-love
#ALLKARAOKE_SID:5596
#ALLKARAOKE_LASTUPDATE:2026-01-24T14:46:55.320Z
#ALLKARAOKE_ARTISTORIGIN:GB
#ALLKARAOKE_REALBPM:27
#ALLKARAOKE_SOURCEURL:The Saturdays - Disco Love
#ALLKARAOKE_VOLUME:0,5
#MP3:The Saturdays - Disco Love.mp3
: 16 2 19 What 
: 19 3 19 you 
: 23 4 19 say, 
: 31 4 19 Mi
: 36 3 19 ster 
: 40 3 18 lo
: 44 2 16 va
: 48 8 14 ble, 
: 72 7 19 hey, 
: 96 3 19 Mi
: 100 3 19 ster 
: 105 3 18 lov
: 109 3 16 a 
: 113 3 18 lo
: 117 2 16 va
: 121 7 14 ble
- 128 129
- 129
: 145 1 19 What 
: 147 3 19 you 
: 152 7 19 say, 
: 160 2 19 Mi
: 164 3 19 ster 
: 168 3 18 got 
: 173 2 16 it 
: 177 6 14 all, 
: 201 6 19 hey, 
: 224 3 19 Mi
: 228 3 19 ster 
: 233 3 18 got 
: 237 3 16 it 
: 241 2 18 got 
: 245 2 16 it 
: 248 8 14 all
- 256
: 269 3 16 We 
: 273 3 16 got 
: 277 2 16 the 
: 280 5 19 di
: 286 4 21 sco 
* 292 5 23 love, 
: 300 2 16 so 
: 304 2 16 fun 
: 308 2 16 and 
: 312 5 19 co
: 319 3 21 lor
: 323 5 16 ful
- 328
: 333 2 16 It’s 
: 337 2 16 ne
: 340 2 16 ver 
: 344 3 19 win
: 348 3 19 ter 
: 353 3 16 when 
: 357 2 16 it’s 
* 360 4 23 Do
* 365 2 25 nna 
: 368 3 24 Su
: 373 3 21 mmer 
: 377 5 19 all 
: 383 3 21 year 
: 388 4 23 long
- 392
: 397 2 16 You 
: 401 2 16 take 
: 405 3 16 me 
: 409 4 18 back 
: 415 3 21 in 
: 419 5 21 time, 
: 429 2 16 to 
: 432 3 16 nine
: 436 2 16 ty
: 439 4 18 se
: 444 1 18 ven
: 446 5 20 ty
: 453 5 16 nine
- 458
