#ARTIST:TWO-MIX
#TITLE:Rhythm Emotion
#CREATOR:ZeroOmega21
#BPM:285,4
#YEAR:1995
#VIDEO:v=ICOwBtm8L_s
#GENRE:Anime
#LANGUAGE:Japanese
#GAP:3734,4015416958655
#ALLKARAOKE_ID:two-mix-rhythm-emotion
#ALLKARAOKE_SID:4581
#ALLKARAOKE_LASTUPDATE:2024-07-03T00:10:32.449Z
#ALLKARAOKE_ARTISTORIGIN:JP
#ALLKARAOKE_REALBPM:143
#ALLKARAOKE_VOLUME:1
#P1:Rhythm Emotion
#COVER:TWO-MIX - Rhythm Emotion (TV) [CO].jpg
#MP3:TWO-MIX - Rhythm Emotion (TV).mp3
: 19 5 6 I 
: 25 3 3 just 
: 31 4 6 feel
: 36 4 6 ~
: 41 4 3 ~ 
: 47 3 6 Rhythm 
: 52 4 5 E
: 58 4 6 mo
: 63 3 8 ~
: 69 2 6 tion
: 72 7 8 ~
- 79
: 86 3 6 ko
: 90 4 8 no 
: 95 4 10 mu
: 100 6 10 ne 
: 107 6 6 no 
: 115 5 8 ko
: 121 5 3 do
: 127 3 1 u 
: 131 11 3 wa
- 142
: 148 3 3 a
: 153 5 3 na
: 159 3 3 ta 
: 163 7 6 e 
: 171 6 3 to 
: 180 3 5 tsu
: 186 4 5 zu
: 191 3 5 i
: 195 7 8 te
: 203 5 5 ru
- 208
: 213 3 7 so 
: 217 5 8 far 
: 224 2 10 a
: 228 37 10 way
- 265 416
- 416
: 435 6 5 mou
: 442 9 7 ~ 
: 455 3 3 ki
: 460 2 3 zu
: 465 2 7 tsu
: 468 2 8 i
: 472 5 7 te 
: 479 6 5 mo 
: 487 7 3 i
: 495 10 5 i
- 505
: 519 3 10 hi
: 523 3 10 to
: 527 3 5 mi 
: 531 5 8 wo 
: 538 4 7 so
: 543 2 5 ra
: 547 6 7 sa
: 556 6 5 zu 
: 563 11 3 ni
- 574
: 583 3 3 atsu 
: 592 10 3 ku
- 602
: 615 2 0 ha
: 619 2 2 ge
: 624 2 3 shi
: 627 4 0 ku 
: 633 4 2 i
: 639 3 3 ki
: 643 5 3 te 
: 649 5 5 i
: 655 3 7 ta
: 659 20 5 i
- 679
: 691 3 7 a
: 695 3 9 ~
: 703 10 7 ki
: 715 6 7 ra
: 724 10 7 me
: 736 10 5 na
: 747 5 2 i 
: 755 10 3 tsu
: 767 10 5 yo
: 780 6 7 sa 
: 788 22 0 wo
- 810
: 819 10 0 ku
: 831 10 2 re
: 843 6 3 ru 
* 851 10 2 a
* 863 9 3 na
* 875 7 5 ta 
: 883 4 3 da
: 888 5 5 ka
: 895 3 6 ra 
: 899 4 6 da
: 905 4 8 ki
: 911 3 10 shi
: 915 10 10 me
: 927 3 8 ta
: 931 8 8 i
- 939
: 946 5 6 I 
: 952 4 3 just 
: 958 4 6 feel
: 963 4 6 ~
: 968 4 3 ~ 
: 974 4 6 Rhythm 
: 979 4 5 E
: 984 6 6 mo
: 991 2 8 ~
: 996 2 6 tion
: 999 8 8 ~
- 1007
: 1011 4 6 a
: 1016 4 8 ya
: 1022 4 10 ma
: 1027 6 10 chi 
: 1034 7 6 mo 
: 1043 4 8 i
: 1048 4 3 ta
: 1054 3 1 mi 
: 1058 12 3 mo
- 1070
: 1075 4 3 a
: 1081 4 3 za
: 1087 3 3 ya
: 1091 7 6 ka 
: 1099 6 3 na 
: 1107 4 5 i
: 1112 3 5 ~
: 1119 3 5 sshun
: 1123 5 8 ~ 
: 1130 5 5 no
- 1135
: 1139 4 6 hi
: 1144 4 6 ka
: 1150 4 6 ri 
: 1155 6 10 e 
: 1163 3 6 to 
* 1167 2 6 mi
* 1172 5 8 chi
* 1178 3 10 bi
* 1182 3 11 e
* 1186 9 10 te
- 1195
: 1202 5 6 I 
: 1208 4 3 just 
: 1214 4 6 feel
: 1219 4 6 ~
: 1224 4 3 ~ 
: 1230 4 6 Rhythm 
: 1235 5 5 E
: 1241 5 6 mo
: 1247 2 8 ~
: 1252 2 6 tion
: 1255 7 8 ~
- 1262
: 1266 5 6 ko
: 1273 4 8 no 
: 1278 3 10 mu
: 1282 7 10 ne 
: 1290 6 6 no 
: 1298 5 8 ko
: 1304 5 3 do
: 1310 4 1 u 
: 1315 10 3 wa
- 1325
: 1331 4 3 a
: 1337 4 3 na
: 1343 3 3 ta 
: 1347 6 6 e 
: 1354 7 3 to 
: 1363 4 5 tsu
: 1370 4 5 dzu
: 1375 2 5 i
: 1378 8 8 te
: 1387 5 5 ru
- 1392
* 1395 4 7 so 
* 1401 5 8 far 
* 1407 3 10 a
* 1411 20 10 way
E
